数据条目, 资源分类, 关键字, 国家分类, 提供单位
信息服务业产业基地, 经济建设, 基地全称、界域、运营管理机构及联系方式、主要领域类别, 信息产业综合类, 上海市经济和信息化委员会
工业投资信息, 经济建设, 工业投资总量、增速、制造业、水电气供应业、各种所有制类型、重点行业投资总量、增速, 工业, 上海市经济和信息化委员会
重点行业环境整治信息, 资源环境, 环境整治, 环境保护、治理, 上海市环境保护局
创意产业集聚区, 经济建设, 集聚区名称、地址、主导产业、概况、入驻企业、服务平台、联系方式, 工业, 上海市经济和信息化委员会
&ldquo;i-Shanghai&ldquo;免费网络, 民生服务, 行政区划、场所名称、场所地址、覆盖范围、场所类型, 网络, 上海市经济和信息化委员会
计算机信息系统集成资质企业, 经济建设, 企业名称、资质证书编号、批准备案日期、首次获证日期、资质等级、所属省市, 信息产业综合类, 上海市经济和信息化委员会
软件和信息服务业机构, 经济建设, 机构名称、地址、网址、电话、传真、简介, 信息产业综合类, 上海市经济和信息化委员会
信息安全服务机构推荐名单, 机构团体, 机构名称、地址、联系电话, 信息产业综合类, 上海市经济和信息化委员会
电子政务领域国产信息安全产品使用排名, 公共安全, 产品类型、产商名称、应用数量, 信息产业综合类, 上海市经济和信息化委员会
集成电路设计企业, 经济建设, 企业名称、地址、主要产品、联系电话, 信息产业综合类, 上海市经济和信息化委员会
上海工业云创新服务试点企业, 经济建设, 上海、工业云、创新服务、试点, 信息产业综合类, 上海市经济和信息化委员会
节能技改领域专项资金分配结果, 经济建设, 2014、节能技改、专项资金、分配, 工业, 上海市经济和信息化委员会
合同能源管理领域专项资金分配结果, 经济建设, 2014、合同能源管理、专项资金, 工业, 上海市经济和信息化委员会
市经济信息化委行政审批事项, 经济建设, 审批事项、依据、处室、期限, 经济管理, 上海市经济和信息化委员会
优秀历史建筑信息, 城市建设, 优秀历史建筑, 房地产, 上海市住房保障和房屋管理局
居住小区信息, 城市建设, 居住小区, 房地产, 上海市住房保障和房屋管理局
物业管理专业人员信息, 城市建设, 物业管理专业人员, 房地产, 上海市住房保障和房屋管理局
注册房地产估价师, 城市建设, 注册房地产估价师, 房地产, 上海市住房保障和房屋管理局
住房公积金信息, 城市建设, 住房公积金, 城乡建设, 上海市城乡建设和管理委员会
售后公房维修资金信息, 城市建设, 维修资金, 城乡建设, 上海市城乡建设和管理委员会
欠缴税款纳税人名单, 经济建设, 纳税人基础信息，欠税信息, 税务, 上海市地方税务局
建筑业受理服务部门信息, 城市建设, 建筑业受理服务部门, 城乡建设, 上海市城乡建设和管理委员会
固定形式印刷品广告登记证, 经济建设, 固定形式印刷品，广告，登记证, 工商, 上海市工商行政管理局
经营异常企业信息, 经济建设, 工商，经营异常企业, 工商, 上海市工商行政管理局
执业经纪人信息, 经济建设, 工商，执业经纪人, 工商, 上海市工商行政管理局
地质灾害治理工程勘察、设计、施工、监理单位资质审批, 资源环境, 地质灾害治理工程勘察、设计、施工、监理单位资质审批, 矿藏, 上海市规划和国土资源管理局
地质勘查资质注册登记, 资源环境, 地质勘查资质注册登记, 矿藏, 上海市规划和国土资源管理局
垃圾分类场所, 城市建设, 名称，地址，街镇, 城乡建设与环境保护综合类, 上海市绿化和市容管理局
园林绿化企业资质信息, 城市建设, 营业执照注册号，法人名称，证件名称，证件号，发证单位，资质等级，有效期起，有效期止, 综合类, 上海市绿化和市容管理局
上海市智慧城市体验中心, 城市建设, 智慧城市、体验、中心, 信息产业综合类, 上海市经济和信息化委员会
智慧社区试点单位, 城市建设, 智慧社区、试点单位, 信息产业综合类, 上海市经济和信息化委员会
智慧村庄试点单位, 城市建设, 智慧村庄、试点单位, 信息产业综合类, 上海市经济和信息化委员会
智慧园区, 经济建设, 智慧园区, 信息产业综合类, 上海市经济和信息化委员会
电动自行车产品目录, 经济建设, 电动、自行车、产品目录, 工业, 上海市经济和信息化委员会
市国资委监管单位基本信息, 经济建设, 单位名称、地址、联系电话, 综合政务类, 上海市国有资产监督管理委员会
上海市2015年度行政事业性收费项目目录, 经济建设, 行政事业性收费, 财政, 上海市财政局
上海市税收收入统计情况, 经济建设, 上海市税收收入统计情况, 税务, 上海市地方税务局
上海市2015年度涉企行政事业性收费项目目录, 经济建设, 行政事业性收费, 财政, 上海市财政局
粮食管理机构信息, 机构团体, 粮食，管理，机构, 商贸综合类, 上海市粮食局
各区县税务分局对外服务窗口, 机构团体, 各区县税务分局对外服务窗口，办税服务厅, 税务, 上海市地方税务局
各直属税务分局对外服务窗口, 机构团体, 各直属税务分局对外服务窗口, 税务, 上海市地方税务局
各区县办税服务厅个人房产税专窗, 民生服务, 各区县办税服务厅个人房产税专窗, 税务, 上海市地方税务局
上海市各区县税务局私房出租代征点信息, 民生服务, 上海市各区县税务局私房出租代征点信息, 税务, 上海市地方税务局
法律援助中心, 机构团体, 法律援助中心, 政法综合类, 上海市司法局
基层法律服务所, 社会发展, 基层法律服务所, 政法综合类, 上海市司法局
公证处, 社会发展, 公证处, 政法综合类, 上海市司法局
报废机动车信息, 道路交通, 报废机动车, 国内贸易, 上海市商务委员会
上海标准化菜市场基本情况, 民生服务, 标准化、菜市场, 商贸综合类, 上海市商务委员会
公证员, 社会发展, 公证员, 司法, 上海市司法局
律师信息, 社会发展, 律师, 司法, 上海市司法局
外省市驻沪建管部门信息, 城市建设, 外省市驻沪建管部门, 城乡建设, 上海市城乡建设和管理委员会
基层法律工作者, 社会发展, 基层法律工作者, 司法, 上海市司法局
新型建设工程材料信息, 城市建设, 证书编号、企业名称、材料名称, 城乡建设, 上海市城乡建设和管理委员会
税务师事务所, 经济建设, 税务师事务所，地址，邮编，成立时间，姓名，联系方式, 税务, 上海市地方税务局
非正常户信息, 经济建设, 纳税人识别码，名称，法定代表人，认定日期，主管税务机关, 税务, 上海市地方税务局
上海市税务局零散税收委托征管代征人清册, 经济建设, 名称，地址，电话，时间, 税务, 上海市地方税务局
上海用于联合惩戒的重大税收违法案件信息汇总, 经济建设, 纳税人基础信息，涉税信息，涉案信息, 税务, 上海市地方税务局
上海市各区县房地产交易中心税务窗口, 机构团体, 地址、电话、对外服务时间、税务机关, 税务, 上海市地方税务局
医患纠纷人民调解委员会, 卫生健康, 医患纠纷人民调解委员会, 政法综合类, 上海市司法局
社区矫正中心, 公共安全, 社区矫正中心, 政法综合类, 上海市司法局
注册建筑师执业资格信息, 教育科技, 注册建筑师执业资格, 城乡建设, 上海市城乡建设和管理委员会
注册建造师执业资格信息, 教育科技, 注册建造师执业资格, 城乡建设, 上海市城乡建设和管理委员会
二手车交易信息, 道路交通, 二手车, 国内贸易, 上海市商务委员会
二手车鉴定评估机构, 道路交通, 二手车, 国内贸易, 上海市商务委员会
注册结构工程师信息, 教育科技, 注册结构工程师, 城乡建设, 上海市城乡建设和管理委员会
区县商务主管部门基本信息, 机构团体, 商务主管部门, 经贸管理, 上海市商务委员会
粮油仓储设施信息, 经济建设, 粮油，仓储，设施, 商贸综合类, 上海市粮食局
粮油加工企业信息, 经济建设, 粮油，加工，企业, 商贸综合类, 上海市粮食局
粮食批发市场信息, 经济建设, 粮食，批发，市场, 商贸综合类, 上海市粮食局
上海市国家级生态镇信息, 资源环境, 国家级生态镇, 城乡建设与环境保护综合类, 上海市环境保护局
医疗器械召回信息, 卫生健康, 医疗器械、医疗器械召回, 医药卫生管理, 上海市食品药品监督管理局
获GMP认证证书企业信息, 卫生健康, GMP证书，药品经营，企业, 医药卫生管理, 上海市食品药品监督管理局
保健食品生产单位信息, 卫生健康, 保健食品，企业, 医药卫生管理, 上海市食品药品监督管理局
水域保洁企业信息, 城市建设, 企业名称，单位地址，邮编, 城乡建设与环境保护综合类, 上海市绿化和市容管理局
花园单位信息, 城市建设, 区县，单位名称，命名时间, 综合类, 上海市绿化和市容管理局
公园活动情况, 文化休闲, 公园名称、活动内容（地址、交通等）、活动名称、活动日期, 文体综合类, 上海市绿化和市容管理局
上海市监察系统单位信息, 机构团体, 上海，监察，地址，电话, 综合类, 上海市监察局
采矿许可证审批, 资源环境, 采矿许可证审批, 矿藏, 上海市规划和国土资源管理局
矿产资源勘查许可证审批与地质调查项目登记, 资源环境, 矿产资源勘查许可证审批与地质调查项目登记, 矿藏, 上海市规划和国土资源管理局
《建设项目选址意见书》审批, 城市建设, 《建设项目选址意见书》审批, 城乡规划, 上海市规划和国土资源管理局
核定规划条件, 城市建设, 核定规划条件, 城乡规划, 上海市规划和国土资源管理局
《建设用地规划许可证》审批, 城市建设, 《建设用地规划许可证》审批, 城乡规划, 上海市规划和国土资源管理局
建设工程设计方案审批, 城市建设, 建设工程设计方案审批, 城乡规划, 上海市规划和国土资源管理局
《建设工程规划许可证》审批, 城市建设, 《建设工程规划许可证》审批, 城乡规划, 上海市规划和国土资源管理局
《建设项目选址意见书》（市政类）审批, 城市建设, 《建设项目选址意见书》（市政类）审批, 城乡规划, 上海市规划和国土资源管理局
《建设工程规划设计要求》（市政类）审批, 城市建设, 《建设工程规划设计要求》（市政类）审批, 城乡规划, 上海市规划和国土资源管理局
《建设工程规划设计方案》（市政类）审批, 城市建设, 《建设工程规划设计方案》（市政类）审批, 城乡规划, 上海市规划和国土资源管理局
《建设用地规划许可证》（市政类）审批, 城市建设, 《建设用地规划许可证》（市政类）审批, 城乡规划, 上海市规划和国土资源管理局
《建设用地规划许可证（市政类临时）》审批, 城市建设, 《建设用地规划许可证（市政类临时）》审批, 城乡规划, 上海市规划和国土资源管理局
《建设工程规划许可证》（市政交通）审批, 城市建设, 《建设工程规划许可证》（市政交通）审批, 城乡规划, 上海市规划和国土资源管理局
建筑工程竣工规划验收, 城市建设, 建筑工程竣工规划验收, 城乡规划, 上海市规划和国土资源管理局
一书两证的延期（市政类）, 城市建设, 一书两证的延期（市政类）, 城乡规划, 上海市规划和国土资源管理局
建筑工程开工放样复验, 城市建设, 建筑工程开工放样复验, 城乡规划, 上海市规划和国土资源管理局
建设项目用地预审（市批）, 城市建设, 建设项目用地预审（市批）, 城乡规划, 上海市规划和国土资源管理局
《临时建设工程规划许可证》审批, 城市建设, 《临时建设工程规划许可证》审批, 城乡规划, 上海市规划和国土资源管理局
上海市优秀学术/技术带头人计划项目资助人员名单, 教育科技, 科技学术技术带头人项目资助人员名单, 科技管理, 上海市科学技术委员会
司法鉴定人, 社会发展, 司法鉴定人, 司法, 上海市司法局
浦江人才计划资助人员名单, 教育科技, 科技浦江人才计划人员名单, 科技管理, 上海市科学技术委员会
人民调解委员会, 社会发展, 司法鉴定机构, 政法综合类, 上海市司法局
食品经营单位信息-食品流通企业, 卫生健康, 食品经营，食品流通，企业, 医药卫生管理, 上海市食品药品监督管理局
焚烧厂信息, 城市建设, 区县，地址, 城乡建设, 上海市绿化和市容管理局
食品经营单位信息-餐饮企业, 卫生健康, 食品经营，食品餐饮，企业, 医药卫生管理, 上海市食品药品监督管理局
污水处理设施信息, 资源环境, 单位名称、厂址、上级主管部门、设计规模(万m3/日)、年处理水量(万m3)、填表日期, 综合类, 上海市水务局
经市教委批准校外学习中心清单, 教育科技, 校外学习, 教育, 上海市教育委员会
上海市市奖学金分配信息, 教育科技, 奖学金, 教育, 上海市教育委员会
上海市国家励志奖学金分配信息, 教育科技, 奖学金, 教育, 上海市教育委员会
排水防汛应急类信息（防汛队伍）, 资源环境, 抢险范围、组成单位，队长，集结地点, 水利, 上海市水务局
全市林荫道情况, 文化休闲, 道路，路段, 城乡建设与环境保护综合类, 上海市绿化和市容管理局
生活垃圾无害化处理场信息, 城市建设, 区县，地址, 城乡建设, 上海市绿化和市容管理局
消防技术服务机构资质信息, 公共安全, 消防技术服务机构, 公安, 上海市公安局
无公害、绿色、有机农产品认证, 民生服务, 无公害，绿色，有机, 农业, 上海市农业委员会
上海市批准的农作物种子检验员信息, 教育科技, 农作物、种子、检验员, 农业, 上海市农业委员会
上海市农作物种子经营许可信息, 经济建设, 农作物、种子、经营, 农业, 上海市农业委员会
典当企业信息, 经济建设, 典当企业, 国内贸易, 上海市商务委员会
拍卖资质企业信息, 经济建设, 拍卖资质企业, 国内贸易, 上海市商务委员会
上海市农作物种子生产许可信息表, 经济建设, 农作物、种子、生产, 农业, 上海市农业委员会
上海市休闲垂钓场所信息, 文化休闲, 休闲垂钓, 渔业, 上海市农业委员会
下立交积水自动监测站点信息, 资源环境, 名称、地址、管理单位、养护单位、运营单位、产权单位, 综合类, 上海市水务局
排水防汛应急类信息（物资）, 资源环境, 储备点名称、储备点地址、联系人、电话、备注, 综合类, 上海市水务局
排水防汛应急类信息（设备）, 资源环境, 设备类别，品牌，数量, 综合类, 上海市水务局
旧区改造信息, 城市建设, 旧区改造, 城乡建设, 上海市城乡建设和管理委员会
海洋经济统计数据, 资源环境, 海洋经济，分析评估，统计信息, 统计, 上海市水务局
活禽定点零售交易点信息, 民生服务, 活禽定点零售交易点, 国内贸易, 上海市商务委员会
上海农村土地承包经营权流转管理服务中心, 机构团体, 土地，承包，流转, 农业, 上海市农业委员会
节水型企业（单位）信息, 资源环境, 企业（单位）名称，获评年度, 水利, 上海市水务局
企业用自来水水价信息, 资源环境, 执行时间，水价，适用范围, 水利, 上海市水务局
区县计划用水办公室信息, 资源环境, 名称，所属区县，地址，联系人, 水利, 上海市水务局
市属计划用水办事站点信息, 资源环境, 站点名称，地址，联系电话, 水利, 上海市水务局
节水型小区信息, 资源环境, 节水型，小区名称，获评年度, 水利, 上海市水务局
获GSP认证证书企业信息, 卫生健康, GSP证书，药品经营，企业, 医药卫生管理, 上海市食品药品监督管理局
药品、医疗器械第三方物流企业信息, 卫生健康, 药品、医疗器械第三方物流，企业, 医药卫生管理, 上海市食品药品监督管理局
集体用餐配送单位信息, 卫生健康, 集体用餐配送单位，企业, 医药卫生管理, 上海市食品药品监督管理局
印章承刻企业信息, 公共安全, 印章承刻企业, 公安, 上海市公安局
上海市优良种猪登记结果, 经济建设, 种猪, 畜牧业, 上海市农业委员会
上海市科技型中小企业技术创新资金项目信息, 教育科技, 科技中小企业创新资金项目, 科技管理, 上海市科学技术委员会
技术合同认定登记处基本信息, 教育科技, 科技技术合同认定登记处, 科技管理, 上海市科学技术委员会
上海市专业技术职务任职资格评审通过人员信息, 教育科技, 专业职称、评审、通过, 农业, 上海市农业委员会
农产品地理标志\t\t\t\t, 经济建设, 农产品、地理标志, 农业, 上海市农业委员会
上海市国家大学科技园, 教育科技, 科技大学科技园, 科教综合类, 上海市科学技术委员会
市级以上农业产业化重点龙头企业, 经济建设, 农业、重点龙头企业, 农业, 上海市农业委员会
上海市高新技术企业名单, 经济建设, 科技高新技术企业, 科技管理, 上海市科学技术委员会
烟火燃放单位资质信息, 公共安全, 烟火燃放单位, 公安, 上海市公安局
客运、轮渡码头及周边相关道路交通违法受理窗口信息, 道路交通, 客运、轮渡码头、交通违法受理窗口, 公安, 上海市公安局
上海市区县审计局信息, 机构团体, 审计区县联系地址, 审计, 上海市审计局
上海市城镇居民最低生活保障情况汇总表, 民生服务, 月上海市城镇居民最低生活保障情况汇总表1, 民政, 上海市民政局
上海市农村居民最低生活保障情况汇总表, 民生服务, 上海市农村居民最低生活保障情况, 民政, 上海市民政局
国家级产业化基地, 经济建设, 科技产业化基地, 科技管理, 上海市科学技术委员会
国家及上海市科技企业孵化器基本信息, 经济建设, 科技企业孵化器, 科技管理, 上海市科学技术委员会
上海农家乐旅游点信息, 文化休闲, 农家乐, 服务业, 上海市农业委员会
本市中心城区犬类管理信息, 民生服务, 宠物、诊所、, 畜牧业, 上海市农业委员会
上海市审计局审计结果公告, 经济建设, 审计结果, 审计, 上海市审计局
上海市审计局重点审计项目计划, 经济建设, 审计项目计划, 审计, 上海市审计局
关于市本级预算执行和其他财政收支的审计工作报告, 经济建设, 审计工作报告, 审计, 上海市审计局
关于审计整改情况的报告, 经济建设, 审计整改报告, 审计, 上海市审计局
上海市审计工作成果, 经济建设, 审计成果, 审计, 上海市审计局
食品相关产品生产许可获证企业信息, 卫生健康, 食品相关，生产许可证，获证企业, 综合类, 上海市质量技术监督局
全国社会工作者职业水平评价考试情况（上海）, 社会发展, 全国社会工作者职业水平评价考试情况（上海）, 民政, 上海市民政局
省际客运企业, 道路交通, 省际客运企业, 交通运输, 上海市交通委员会
驾驶员培训企业, 道路交通, 驾驶员培训企业, 交通运输, 上海市交通委员会
危险品运输企业, 道路交通, 危险品运输企业, 交通运输, 上海市交通委员会
普通货运企业, 道路交通, 普通货运企业, 交通运输, 上海市交通委员会
搬场运输企业, 道路交通, 搬场运输企业, 交通运输, 上海市交通委员会
货运出租企业信息, 道路交通, 货运出租企业信息, 交通运输, 上海市交通委员会
集装箱运输企业, 道路交通, 集装箱运输企业, 交通运输, 上海市交通委员会
资质认定（计量认证）获证机构信息, 经济建设, 资质认定，计量认证，获证机构, 综合类, 上海市质量技术监督局
计量校准实验室信息, 经济建设, 计量校准实验室，实验室, 综合类, 上海市质量技术监督局
社会公正计量行（站）信息, 机构团体, 社会公正，计量行，计量站, 综合类, 上海市质量技术监督局
重要工业产品生产许可证核发信息, 经济建设, 重要工业产品，生产许可，核发, 综合类, 上海市质量技术监督局
法定计量检定机构信息, 经济建设, 法定计量检定，机构信息, 综合类, 上海市质量技术监督局
教育部予以资格认定的自费出国留学中介机构清单（上海）, 教育科技, 自费出国留学中介, 教育, 上海市教育委员会
教育收费信息, 教育科技, 教育收费, 教育, 上海市教育委员会
上海市区县教育局清单, 教育科技, 区县教育局, 教育, 上海市教育委员会
市政府法制办公告2015年第1号, 社会发展, 规范性文件, 综合类, 上海市人民政府法制办公室
燃气企业、器具信息, 城市建设, 燃气企业，燃气器具, 城乡建设, 上海市城乡建设和管理委员会
建材备案部门基本信息, 城市建设, 名称、电话、地址, 城乡建设, 上海市城乡建设和管理委员会
上海市人民政府法制办公室主要职能, 社会发展, 职能, 综合类, 上海市人民政府法制办公室
2015年上海市人民政府法制办公室预算编制说明, 社会发展, 预算编制说明, 综合类, 上海市人民政府法制办公室
2015年度法制办财务表, 社会发展, 财, 综合类, 上海市人民政府法制办公室
重大工程项目信息, 城市建设, 重大工程、重大市政设施, 城乡建设与环境保护综合类, 上海市城乡建设和管理委员会
2015年上海市人民政府法制办公室部门&ldquo;三公&rdquo;经费预算说明, 社会发展, 预算说明, 综合类, 上海市人民政府法制办公室
保安服务业信息, 公共安全, 保安服务业, 公安, 上海市公安局
全市典当企业信息, 民生服务, 典当企业, 公安, 上海市公安局
生产性废旧金属回收企业信息, 资源环境, 废旧金属回收, 公安, 上海市公安局
营业性射击场信息, 文化休闲, 营业性射击场, 公安, 上海市公安局
公安局登记备案的机动车检测场信息, 道路交通, 机动车检测场, 公安, 上海市公安局
涉及公民权利义务的公安机关规范性文件信息, 民生服务, 公民权利义务、规范性文件, 公安, 上海市公安局
全市交通事故多发道路信息, 道路交通, 事故多发道路, 公安, 上海市公安局
内河船舶户牌及船民证办理点信息, 民生服务, 船舶户牌、船民证, 公安, 上海市公安局
全市出入境中介机构信息, 机构团体, 出入境、中介, 公安, 上海市公安局
市定价目录, 民生服务, 政府定价, 综合政务, 上海市发展和改革委员会
市属殡仪馆主要收费项目和标准, 民生服务, 收费项目, 民政综合类, 上海市发展和改革委员会
各类公办学校主要教育收费, 教育科技, 教育收费, 物价, 上海市发展和改革委员会
上海市2015年市本级一般公共预算支出预算数据, 经济建设, 市本级、一般公共预算、支出、预算, 财政, 上海市财政局
上海市2015年市本级政府性基金支出预算数据, 经济建设, 市本级、政府性基金、支出、预算, 财政, 上海市财政局
上海市2014年市本级政府性基金支出决算数据, 经济建设, 市本级、政府性基金、支出、决算, 财政, 上海市财政局
上海市2014年市本级一般公共预算支出决算数据, 经济建设, 市本级、一般公共预算、支出、决算, 财政, 上海市财政局
募捐组织信息（公募基金会）, 机构团体, 募捐组织, 民政, 上海市民政局
认建认养信息, 民生服务, 区域，可认建认养地块（树木），面积，棵树，联系电话，联系人, 城乡建设与环境保护综合类, 上海市绿化和市容管理局
福利企业信息公示, 经济建设, 福利企业, 民政, 上海市民政局
经批准的募捐活动信息, 民生服务, 募捐, 民政, 上海市民政局
婚姻收养登记机关信息, 民生服务, 婚姻, 民政, 上海市民政局
&ldquo;双特&rdquo;涉老行业受理部门, 民生服务, 双特、涉老行业, 民政, 上海市民政局
工程渣土运输服务企业信息, 城市建设, 企业名称, 城乡建设与环境保护综合类, 上海市绿化和市容管理局
上海市出境游旅行社信息, 文化休闲, 出境旅游业务资质的旅行社, 旅游, 上海市旅游局
上海赴台旅行社信息, 文化休闲, 赴台旅行社, 旅游, 上海市旅游局
上海市A级旅游景区最大承载量, 文化休闲, A级旅游景区，日最大承载量，瞬时最大承载量, 旅游, 上海市旅游局
全市社区旅游信息服务点信息, 文化休闲, 社区旅游信息服务点，街道，地址, 旅游、服务业综合类, 上海市旅游局
生活垃圾中转站信息, 城市建设, 区县，地址, 城乡建设, 上海市绿化和市容管理局
清道工人作息场所信息, 城市建设, 区县，地址, 城乡建设, 上海市绿化和市容管理局
倒粪站信息, 城市建设, 区县，地址, 城乡建设, 上海市绿化和市容管理局
化粪池信息, 城市建设, 区县，地址, 城乡建设, 上海市绿化和市容管理局
生活垃圾收集点信息, 民生服务, 区县，地址, 城乡建设, 上海市绿化和市容管理局
珍惜动植物学信息, 教育科技, 学名、拉丁学名、所属科目、保护级别, 科教综合类, 上海市绿化和市容管理局
城市普通地下室信息, 城市建设, 普通地下室，工程名称，工程地址, 城乡建设, 上海市城乡建设和管理委员会
科学技术奖信息, 教育科技, 上海科技奖励清单, 科研工作, 上海市科学技术委员会
科普教育基地信息, 教育科技, 上海科技科普基地, 科教综合类, 上海市科学技术委员会
残疾人辅助器具服务点信息, 民生服务, 服务社名称联系地址联系人联系电话, 综合类, 
残疾车修理点信息, 民生服务, 单位名称地址负责人电话所属区县, 综合类, 
