数据条目, 资源分类, 关键字, 国家分类, 提供单位
&ldquo;阳光基地&rdquo;信息, 民生服务, 机构名称地址联系电话联系人所属区县, 综合类, 
&ldquo;阳光之家&rdquo;信息, 民生服务, 机构名称、地址、联系电话、联系人、所属区县, 综合类, 
残疾人就业服务机构信息\t\t\t\t\t, 机构团体, 名称地址联系电话联系人所属区县, 综合类, 
残联机构信息, 机构团体, 名称、地址、联系电话, 综合类, 
&ldquo;阳光心园&rdquo;信息, 民生服务, 名称地址联系电话联系人所属区县, 综合类, 
残疾人康复中心信息, 民生服务, 名称地址联系电话联系人所属区县, 综合类, 
建筑相关行业协会信息, 城市建设, 建筑，协会, 城乡建设, 上海市城乡建设和管理委员会
初步设计审批单位信息, 城市建设, 初步设计, 城乡建设, 上海市城乡建设和管理委员会
残疾人康复服务指导站信息, 民生服务, 名称地址联系电话联系人所属区县, 综合类, 
电子信息制造领域行业协会, 机构团体, 协会名称、地址、服务内容、联系电话、会员单位, 信息产业综合类, 上海市经济和信息化委员会
场馆开放信息, 文化休闲, 场馆信息, 体育, 上海市体育局
体育机构, 文化休闲, 体育机构, 体育, 上海市体育局
上海市学校体育设施对外开放情况, 文化休闲, 体育设施，对外开放, 体育, 上海市体育局
上海市公益性健身场所, 文化休闲, 公益性健身场所、健身苑点, 体育, 上海市体育局
百姓健身步道信息, 文化休闲, 百姓健身步道, 体育, 上海市体育局
体育传统项目学校基本信息, 教育科技, 体育，传统项目，学校, 体育, 上海市体育局
区级体质监测指导中心信息, 卫生健康, 体质监测, 体育, 上海市体育局
社区百姓健身房信息, 文化休闲, 百姓健身房, 体育, 上海市体育局
百姓游泳池信息, 文化休闲, 百姓游泳池, 体育, 上海市体育局
社区公共运动场设施信息, 文化休闲, 社区，公共运动场, 体育, 上海市体育局
体彩销售点信息, 文化休闲, 体彩，销售点, 体育, 上海市体育局
各项体育运动记录信息, 文化休闲, 运动记录, 体育, 上海市体育局
农民体育健身工程, 文化休闲, 农民、体育健身, 体育, 上海市体育局
内资企业设立登记公告数据, 经济建设, 内资企业设立登记公告数据, 工商, 上海市工商行政管理局
上海各主要国家贸易经济数据, 经济建设, 主要国家、贸易、经济、数据, 商贸综合类, 上海市商务委员会
公交线路首末班车时间, 道路交通, 公交线路、首班车、末班车，时刻表, 交通运输, 上海市交通委员会
1978年以来社会消费品零售总额及其增长速度, 经济建设, 1978年以来社会消费品零售总额及其增长速度, 统计, 上海市统计局
勘察企业资质, 城市建设, 勘察、资质, 城乡建设, 上海市城乡建设和管理委员会
上海农村居民家庭收支情况, 经济建设, 农村城市居民收入、支出, 统计, 上海市统计局
上海社会消费品零售总额及其增长速度, 经济建设, 按销售地区分的零售总额, 统计, 上海市统计局
上海固定资产投资及增速, 经济建设, 固定资产投资、增速, 统计, 上海市统计局
上海轻重工业总产值, 经济建设, 轻、重工业总产值, 统计, 上海市统计局
上海人均生产总值统计, 经济建设, 人均生产总值, 统计, 上海市统计局
近三年货物运输总量（月度）, 经济建设, 近三年货物运输总量（月度）, 统计, 上海市统计局
1978年以来居民消费价格指数, 经济建设, 1978年以来居民消费价格指数, 统计, 上海市统计局
1978年以来固定资产投资及其增长速度, 经济建设, 1978年以来固定资产投资及其增长速度, 统计, 上海市统计局
1978年以来社会消费品零售总额按用途分类, 经济建设, 1978年以来社会消费品零售总额按用途分类, 统计, 上海市统计局
上海对外贸易经营者备案登记情况, 经济建设, 对外贸易经营者、备案登记, 对外贸易, 上海市商务委员会
1978年以来固定资产投资按经济类型分, 经济建设, 1978年以来固定资产投资按经济类型分, 统计, 上海市统计局
上海全社会固定资产投按管理渠道分, 经济建设, 基本建设、更新改造等固定资产投资, 统计, 上海市统计局
工程设计中标信息, 城市建设, 工程，设计，中标, 城乡建设, 上海市城乡建设和管理委员会
主要年份上海市生产总值按所有制分, 经济建设, 主要年份上海市生产总值按所有制分, 统计, 上海市统计局
第六次人口普查10%人口普查数据就业人口分行业文化构成, 社会发展, 第六次人口普查10%人口普查数据就业人口分行业文化构成, 统计, 上海市统计局
第六次人口普查10%人口普查数据就业人口行业分布, 社会发展, 第六次人口普查10%人口普查数据就业人口行业分布, 统计, 上海市统计局
第六次人口普查10%人口普查数据就业人口职业分布, 社会发展, 第六次人口普查10%人口普查数据就业人口职业分布, 统计, 上海市统计局
第六次人口普查10%人口普查数据就业人口年龄构成, 社会发展, 第六次人口普查10%人口普查数据就业人口年龄构成, 统计, 上海市统计局
1978年以来上海市生产总值（支出法）, 经济建设, 1978年以来上海市生产总值（支出法）, 统计, 上海市统计局
1978年以来商品零售价格指数, 经济建设, 1978年以来商品零售价格指数, 统计, 上海市统计局
1978年以来上海市生产总值比上年增长, 经济建设, 1978年以来上海市生产总值比上年增长, 统计, 上海市统计局
1978年以来人口密度和户籍人口期望寿命及户数、人口, 社会发展, 1978年以来人口密度和户籍人口期望寿命及户数、人口, 统计, 上海市统计局
1978年以来全员劳动生产率, 经济建设, 1978年以来全员劳动生产率, 统计, 上海市统计局
各时期社会经济主要指标, 经济建设, 各时期社会经济主要指标, 统计, 上海市统计局
1978年以来社会消费品零售总额按行业分类, 经济建设, 1978年以来社会消费品零售总额按行业分类, 统计, 上海市统计局
各行业所有制职工人数, 社会发展, 各行业所有制职工人数, 统计, 上海市统计局
1978年以来社会消费品零售总额按经济类型分, 经济建设, 1978年以来社会消费品零售总额按经济类型分, 统计, 上海市统计局
1980年以来农村居民家庭生活基本情况, 社会发展, 1980年以来农村居民家庭生活基本情况, 统计, 上海市统计局
1980年以来城市居民家庭生活基本情况, 经济建设, 1980年以来城市居民家庭生活基本情况, 统计, 上海市统计局
1978年以来生产总值构成, 经济建设, 1978年以来生产总值构成, 统计, 上海市统计局
1978年以来居民消费水平及指数, 经济建设, 1978年以来居民消费水平及指数, 统计, 上海市统计局
1978年以来生产总值收入法项目, 经济建设, 1978年以来生产总值收入法项目, 统计, 上海市统计局
1978年以来生产总值收入法项目构成, 经济建设, 1978年以来生产总值收入法项目构成, 统计, 上海市统计局
上海社会经济主要指标占全国比重, 经济建设, 上海社会经济主要指标占全国比重, 统计, 上海市统计局
1978年以来生产总值指数, 经济建设, 1978年以来生产总值指数, 统计, 上海市统计局
1978年以来居民消费价格指数分类别, 经济建设, 1978年以来居民消费价格指数分类别, 统计, 上海市统计局
1978年以来住宅投资和竣工建筑面积, 城市建设, 1978年以来住宅投资和竣工建筑面积, 统计, 上海市统计局
全社会各行业从业人员, 社会发展, 全社会各行业从业人员, 统计, 上海市统计局
1978年以来建筑业总产值、全员劳动生产率等主要指标, 经济建设, 1978年以来建筑业总产值、全员劳动生产率等主要指标, 统计, 上海市统计局
1978年以来最终消费支出及构成, 经济建设, 1978年以来最终消费支出及构成, 统计, 上海市统计局
1978年以来资本形成总额和指数, 经济建设, 1978年以来资本形成总额和指数, 统计, 上海市统计局
上海市人均生产总值, 经济建设, 上海市人均生产总值, 统计, 上海市统计局
历次人口普查数据, 社会发展, 历次人口普查数据, 统计, 上海市统计局
主要年份旅游产业增加值, 经济建设, 主要年份旅游产业增加值, 统计, 上海市统计局
上海市生产总值按产业分, 经济建设, 上海市生产总值按产业分, 统计, 上海市统计局
主要年份城镇登记失业人数和城镇登记失业率, 经济建设, 主要年份城镇登记失业人数和城镇登记失业率, 统计, 上海市统计局
国民经济主要指标比上年增长, 经济建设, 国民经济主要指标比上年增长, 统计, 上海市统计局
1978年以来固定资产投资按投资类别分, 经济建设, 1978年以来固定资产投资按投资类别分, 统计, 上海市统计局
主要年份能源消耗基本情况, 资源环境, 主要年份能源消耗基本情况, 统计, 上海市统计局
主要年份上海市生产总值按三次产业分, 经济建设, 主要年份上海市生产总值按三次产业分, 统计, 上海市统计局
主要年份上海市生产总值按非公有制经济分, 经济建设, 主要年份上海市生产总值按非公有制经济分, 统计, 上海市统计局
1978年以来工业总产值及其增长速度, 经济建设, 1978年以来工业总产值及其增长速度, 统计, 上海市统计局
主要年份信息产业增加值, 经济建设, 主要年份信息产业增加值, 统计, 上海市统计局
近三年工业生产者出厂价格指数（月度）, 经济建设, 近三年工业生产者出厂价格指数（月度）, 统计, 上海市统计局
近三年工业生产者购进价格指数（月度）, 经济建设, 近三年工业生产者购进价格指数（月度）, 统计, 上海市统计局
近三年全社会房地产开发总额（月度累计）, 经济建设, 近三年全社会房地产开发总额（月度累计）, 统计, 上海市统计局
近三年全社会固定资产投资总额（月度累计）, 经济建设, 近三年全社会固定资产投资总额（月度累计）, 统计, 上海市统计局
近三年商品销售总额（月度）, 经济建设, 近三年商品销售总额（月度）, 统计, 上海市统计局
近三年上海市出口总额（月度）, 经济建设, 近三年上海市出口总额（月度）, 统计, 上海市统计局
近三年上海市进口总额（月度）, 经济建设, 近三年上海市进口总额（月度）, 统计, 上海市统计局
近三年社会消费品零售额（月度）, 经济建设, 近三年社会消费品零售额（月度）, 统计, 上海市统计局
近三年外商实际投资实际到位金额总额（月度累计）, 经济建设, 近三年外商实际投资实际到位金额总额（月度累计）, 统计, 上海市统计局
第六次人口普查人口性别年龄构成, 社会发展, 第六次人口普查人口性别年龄构成, 统计, 上海市统计局
第六次人口普查出境人口, 社会发展, 第六次人口普查出境人口, 统计, 上海市统计局
第六次人口普查受教育程度人口的年龄构成, 社会发展, 第六次人口普查受教育程度人口的年龄构成, 统计, 上海市统计局
第六次人口普查少数民族人口数, 社会发展, 第六次人口普查少数民族人口数, 统计, 上海市统计局
再生资源回收网点备案信息, 资源环境, 再生资源、回收网点, 国内贸易, 上海市商务委员会
第六次人口普查民族人口, 社会发展, 第六次人口普查民族人口, 统计, 上海市统计局
第六次人口普查老年人口, 社会发展, 第六次人口普查老年人口, 统计, 上海市统计局
第六次人口普查人口密度, 社会发展, 第六次人口普查人口密度, 统计, 上海市统计局
第六次人口普查出生人口, 社会发展, 第六次人口普查出生人口, 统计, 上海市统计局
第六次人口普查死亡人口, 社会发展, 第六次人口普查死亡人口, 统计, 上海市统计局
上海市生产总值分行业统计, 经济建设, 上海市生产总值分行业统计, 统计, 上海市统计局
上海单位生产总值能耗, 经济建设, 单位生产总值能耗, 统计, 上海市统计局
上海工业总产值及其增长速度统计, 经济建设, 工业总产值、增速, 统计, 上海市统计局
上海住宅投资和竣工面积, 城市建设, 住宅投资、竣工面积, 统计, 上海市统计局
上海建筑业总产值和全员劳动生产率, 经济建设, 建筑业总产值、全员劳动生产率, 统计, 上海市统计局
上海社会消费品零售总额按经济类型分, 经济建设, 按经济类型分的零售总额, 统计, 上海市统计局
上海对外承包工程完成营业额, 经济建设, 对外承包工程、营业额, 对外贸易, 上海市商务委员会
测绘资质单位名录, 城市建设, 测绘资质单位名录、甲级、乙级、丙级、丁级, 城乡规划, 上海市规划和国土资源管理局
上海社会消费品零售总额按销售地区分, 经济建设, 按销售地区分的零售总额, 统计, 上海市统计局
上海社会消费品零售总额按行业分, 经济建设, 按行业分的零售总额, 统计, 上海市统计局
测绘行业名录, 城市建设, 测绘行业名录、规划定线测量单位、规划竣工测量单位、地理信息测量单位、互联网地图服务单位、地下管线测绘资质单位、外省市来沪测绘单位, 城乡规划, 上海市规划和国土资源管理局
上海社会消费品零售总额按用途分, 经济建设, 按用途分的零售总额, 统计, 上海市统计局
上海市生产总值统计, 经济建设, 生产总值、增速, 统计, 上海市统计局
地面沉降监测设施, 城市建设, 地面沉降监测设施、各区县地面沉降监测设施位置, 土地, 上海市规划和国土资源管理局
主要年份上海市生产总值（按所有制分）, 经济建设, 主要年份上海市生产总值, 统计, 上海市统计局
主要年份非公有制经济增加值(按产业分), 经济建设, 主要年份非公有制经济增加值, 统计, 上海市统计局
主要年份上海市生产总值(按三次产业分), 经济建设, 主要年份上海市生产总值, 统计, 上海市统计局
历次人口普查资料, 社会发展, 历次人口普查资料, 统计, 上海市统计局
各行业职工人数（2011）, 社会发展, 各行业职工人数, 统计, 上海市统计局
各行业在岗职工人数（2011）, 社会发展, 各行业在岗职工人数, 统计, 上海市统计局
市局外资企业撤销公告数据, 经济建设, 市局，外资企业，撤销，公告, 工商, 上海市工商行政管理局
浦东新区分局外国（地区）常驻代表机构撤销公告数据, 经济建设, 浦东新区分局，外国（地区）常驻代表机构，撤销，公告, 工商, 上海市工商行政管理局
浦东新区分局外国（地区）常驻代表机构注销公告数据, 经济建设, 浦东新区分局，外国（地区）常驻代表机构，注销，公告, 工商, 上海市工商行政管理局
浦东新区分局外国（地区）常驻代表机构换证公告数据, 经济建设, 浦东新区分局，外国（地区）常驻代表机构，换证，公告, 工商, 上海市工商行政管理局
浦东新区分局外国（地区）常驻代表机构名称变更公告数据, 经济建设, 浦东新区分局，外国（地区）常驻代表机构，名称，变更，公告, 工商, 上海市工商行政管理局
浦东新区分局外国（地区）常驻代表机构设立公告数据, 经济建设, 浦东新区分局，外国（地区）常驻代表机构，设立，公告, 工商, 上海市工商行政管理局
上海居民消费价格, 经济建设, 居民消费价格, 统计, 上海市统计局
浦东新区分局外资企业撤销公告数据, 经济建设, 浦东新区分局，外资企业，撤销，公告, 工商, 上海市工商行政管理局
上海商品零售价格, 民生服务, 居民消费价格, 统计, 上海市统计局
浦东新区分局外资企业注销公告数据, 经济建设, 浦东新区分局，外资企业，注销，公告, 工商, 上海市工商行政管理局
浦东新区分局外资企业名称变更公告数据, 经济建设, 浦东新区分局，外资企业，名称变更，公告, 工商, 上海市工商行政管理局
浦东新区分局外资企业设立公告数据, 经济建设, 浦东新区分局，外资企业，设立，公告, 工商, 上海市工商行政管理局
上海城市居民家庭收支情况, 经济建设, 商品零售价格, 统计, 上海市统计局
市局外国（地区）常驻代表机构撤销公告数据, 经济建设, 市局，外国（地区）常驻代表机构，撤销，公告, 工商, 上海市工商行政管理局
历年户数、人口、人口密度和户籍人口期望寿命, 社会发展, 历年户数、人口、人口密度和户籍人口期望寿命, 统计, 上海市统计局
市局外国（地区）常驻代表机构注销公告数据, 经济建设, 市局，外国（地区）常驻代表机构，注销，公告, 工商, 上海市工商行政管理局
市局外国（地区）常驻代表机构换证公告数据, 经济建设, 市局，外国（地区）常驻代表机构，换证，公告, 工商, 上海市工商行政管理局
市局外国（地区）常驻代表机构名称变更公告数据, 经济建设, 市局，外国（地区）常驻代表机构，名称变更，公告, 工商, 上海市工商行政管理局
市局外国（地区）常驻代表机构设立公告数据, 经济建设, 市局，外国（地区）常驻代表机构，设立，公告, 工商, 上海市工商行政管理局
市局外资企业注销公告数据, 经济建设, 市局外资企业注销公告数据, 工商, 上海市工商行政管理局
市局外资企业名称变更公告数据, 经济建设, 市局，外资企业，名称变更，公告, 工商, 上海市工商行政管理局
市局外资企业设立公告数据, 经济建设, 市局，外资企业，设立，公告, 工商, 上海市工商行政管理局
内资企业注销公告数据, 经济建设, 内资企业，注销，公告, 工商, 上海市工商行政管理局
内资企业名称变更公告数据, 经济建设, 内资企业，名称变更，公告, 工商, 上海市工商行政管理局
上海社会经济主要指标占全国比重(2011), 经济建设, 上海社会经济主要指标占全国比重(2011), 统计, 上海市统计局
历年国民经济主要指标比上年增长, 经济建设, 历年国民经济主要指标比上年增长, 统计, 上海市统计局
探矿许可证信息, 城市建设, 探矿许可证信息、申请人、许可证编号、区域坐标、发证日期, 矿藏, 上海市规划和国土资源管理局
城乡规划编制资质单位名录, 城市建设, 城乡规划编制资质单位名录、资质等级、证书编号、地址、证书有效期起始年、证书有效期终止年、单位名称、状态, 城乡规划, 上海市规划和国土资源管理局
当前交易地块信息, 城市建设, 当前交易地块信息、地块名称、四至范围、出让面积、规划用途、容积率、出让年限、现状条件, 土地, 上海市规划和国土资源管理局
历史成交地块信息, 城市建设, 历史成交地块信息、地块名称、四至范围、出让面积、规划用途、容积率、出让年限、现状条件、竞得价、竞得人、竞得日期, 土地, 上海市规划和国土资源管理局
采矿许可证信息, 资源环境, 采矿许可证信息、许可证号、申请人、办公地址、最终产品、电话、邮编、法人代表、矿种、有效期、发证日期, 矿藏, 上海市规划和国土资源管理局
建设项目选址意见书, 城市建设, 建设项目选址意见书、项目名称、发证编号、发证日期、建设地点、建设单位, 城乡规划, 上海市规划和国土资源管理局
建设用地规划许可证, 城市建设, 建设用地规划许可证、项目名称、发证编号、发证日期、建设地点、建设单位, 城乡规划, 上海市规划和国土资源管理局
建设工程规划许可证（建筑类）, 城市建设, 建设工程规划许可证（建筑类）、项目名称、发证编号、发证日期、建设地点、建设单位, 城乡规划, 上海市规划和国土资源管理局
建设工程规划许可证（市政类）, 城市建设, 建设工程规划许可证（市政类）、项目名称、发证编号、发证日期、建设地点、建设单位, 城乡规划, 上海市规划和国土资源管理局
建设工程竣工规划验收合格证, 城市建设, 建设工程竣工规划验收合格证、项目名称、发证编号、发证日期、建设地点、建设单位, 城乡规划, 上海市规划和国土资源管理局
地质灾害防治单位名录, 城市建设, 地质灾害防治单位名录、单位名称、类别、等级、联系电话、证书编号, 矿藏, 上海市规划和国土资源管理局
全市规土局、协会名录, 机构团体, 全市规土局、协会名录、单位名称、地址、联系电话, 城乡规划, 上海市规划和国土资源管理局
上海市基础测绘成果, 城市建设, 产品分类、产品名称、覆盖范围、更新周期、数据格式、坐标系统、单价, 城乡规划, 上海市规划和国土资源管理局
建设工程设计方案, 城市建设, 建设工程设计方案、项目名称、发证编号、发证日期、建设地点、建设单位, 城乡规划, 上海市规划和国土资源管理局
建设工程设计要求, 城市建设, 建设工程设计要求、项目名称、发证编号、发证日期、建设地点、建设单位, 城乡规划, 上海市规划和国土资源管理局
住宅工程竣工备案信息, 城市建设, 住宅工程，竣工备案, 城乡建设, 上海市城乡建设和管理委员会
备案建材信息, 城市建设, 建材、备案, 城乡建设, 上海市城乡建设和管理委员会
工程施工中标信息, 城市建设, 工程，施工，中标, 城乡建设, 上海市城乡建设和管理委员会
工程监理中标信息, 城市建设, 工程，监理，中标, 城乡建设, 上海市城乡建设和管理委员会
工程勘察中标信息, 城市建设, 工程，勘察，中标, 综合类, 上海市城乡建设和管理委员会
上海市跨境人民币结算试点企业情况, 经济建设, 跨境人民币结算、试点企业名单, 对外贸易, 上海市商务委员会
上海1000万美元以上外商投资项目情况, 经济建设, 1000万美元以上、外资, 对外贸易, 上海市商务委员会
上海市粮食批发行情, 民生服务, 粮食批发, 国内贸易, 上海市商务委员会
上海市活鸡批发行情, 民生服务, 活鸡批发, 国内贸易, 上海市商务委员会
上海市肉品批发行情, 民生服务, 肉品批发, 国内贸易, 上海市商务委员会
上海市消费指数信息, 经济建设, 消费指数, 商贸综合类, 上海市商务委员会
上海对外直接投资核准额, 经济建设, 对外直接投资, 对外贸易, 上海市商务委员会
上海对外劳务合作派遣人数、月末在外人数, 社会发展, 劳务合作, 对外贸易, 上海市商务委员会
上海现代服务业集聚区基本情况, 经济建设, 现代服务业、集聚区, 服务业, 上海市商务委员会
上海主要展馆信息, 经济建设, 展馆, 综合类, 上海市商务委员会
上海服务外包专业园区基本情况, 经济建设, 服务外包、专业园区, 商贸综合类, 上海市商务委员会
上海主要国际展览会信息, 经济建设, 国际展览会, 综合类, 上海市商务委员会
上海电子商务示范企业基本情况, 经济建设, 电子商务、示范企业, 商贸综合类, 上海市商务委员会
上海市实施&ldquo;走出去&rdquo;战略先进企业情况, 经济建设, 走出去、先进企业, 商贸综合类, 上海市商务委员会
上海市展会项目基本情况, 经济建设, 展会、项目, 商贸综合类, 上海市商务委员会
上海外商投资环境白皮书, 经济建设, 外资、投资环境, 商贸综合类, 上海市商务委员会
上海开发区基本情况, 经济建设, 开发区、国家级、市级, 商贸综合类, 上海市商务委员会
上海全球贸促机构基本情况, 经济建设, 全球、贸促、机构, 商贸综合类, 上海市商务委员会
上海对外承包工程完成营业额、新签合同额, 经济建设, 对外承包工程, 对外贸易, 上海市商务委员会
部分农贸市场及超市主要蔬菜品种价格, 民生服务, 蔬菜价格, 物价, 上海市发展和改革委员会
清真网点, 民生服务, 清真、食品、副食、饮食, 综合类, 上海市民族和宗教事务委员会
宗教院校, 教育科技, 宗教、院校, 综合类, 上海市民族和宗教事务委员会
宗教教职人员, 教育科技, 宗教、教职人员, 综合类, 上海市民族和宗教事务委员会
最新上市楼盘相关信息, 民生服务, 最新上市楼盘, 房地产, 上海市住房保障和房屋管理局
体育彩票公益金情况公告, 文化休闲, 体育彩票, 体育, 上海市体育局
国家知识产权局专利局上海代办处服务时间, 教育科技, 国家知识产权局专利局上海代办处，服务时间, 知识产权, 上海市知识产权局
上海市知识产权试点示范园区名录, 教育科技, 上海市，知识产权试点示范园区，名录, 知识产权, 上海市知识产权局
持有《上海公共安全防范工程设计施工单位核准证书》名单, 公共安全, 上海公共安全防范工程设计施工单位核准证书, 公安, 上海市公安局
看守所信息, 公共安全, 上海市各看守所;位置信息, 公安, 上海市公安局
拘留所信息, 公共安全, 上海市各拘留所;位置信息, 公安, 上海市公安局
强制戒毒所信息, 公共安全, 上海市强制戒毒所;位置信息, 公安, 上海市公安局
社保卡受理网点, 机构团体, 社保卡, 公安, 上海市公安局
2015年烟花爆竹零售点, 公共安全, 烟花爆竹, 公安, 上海市公安局
高架上匝道关闭时间, 道路交通, 高架上匝道关闭时间, 公安, 上海市公安局
上海市现制现售水经营单位, 卫生健康, 现制现售水, 医药卫生管理, 上海市卫生和计划生育委员会
上海市中小学生、婴幼儿住院医疗互助基金定点医疗机构, 卫生健康, 互助基金, 医药卫生管理, 上海市卫生和计划生育委员会
本市经许可开展节育手术和终止妊娠技术的医疗机构, 卫生健康, 节育手术, 医药卫生管理, 上海市卫生和计划生育委员会
