数据条目, 资源分类, 关键字, 国家分类, 提供单位
本市经许可开展助产技术的医疗机构, 卫生健康, 助产技术, 医药卫生管理, 上海市卫生和计划生育委员会
经批准本市开展产前诊断的医疗机构, 卫生健康, 产前诊断, 医药卫生管理, 上海市卫生和计划生育委员会
经批准本市开展人类辅助生殖技术的服务机构, 卫生健康, 辅助生殖技术, 医药卫生管理, 上海市卫生和计划生育委员会
上海市妇幼保健所基本信息, 卫生健康, 妇幼保健, 医药卫生管理, 上海市卫生和计划生育委员会
上海国家工程技术研究中心, 教育科技, 国家工程技术研究中心名称、联系人、电话、传真、email, 科技管理, 上海市科学技术委员会
居民委员会, 机构团体, 居民委员会，地址, 公安, 上海市公安局
网吧信息, 文化休闲, 网吧，网吧位置, 公安, 上海市公安局
市、区两级消防安全重点单位名单、分级等信息, 公共安全, 单位名称，单位地址, 公安, 上海市公安局
居住证受理网点, 机构团体, 居住证, 公安, 上海市公安局
保安培训机构, 公共安全, 单位名称，单位地址, 公安, 上海市公安局
保安从业单位, 公共安全, 单位名称，单位地址, 公安, 上海市公安局
上海市&ldquo;安全优质信得过果园&rdquo;名单, 民生服务, 果园名称, 林业, 上海市绿化和市容管理局
上海市高等教育机构名单, 教育科技, 高等，院系，联系方式, 教育, 上海市教育委员会
环境管理与服务机构, 机构团体, 环境管理，服务机构, 城乡建设与环境保护综合类, 上海市环境保护局
体育设施对外开放学校名录, 教育科技, 体育，设施，开放，学校, 教育, 上海市教育委员会
上海市基础教育机构名单, 教育科技, 中小学，联系方式, 教育, 上海市教育委员会
市、区县卫生计生委, 机构团体, 卫生计生委, 医药卫生管理, 上海市卫生和计划生育委员会
计划生育药具免费发放点, 卫生健康, 计划生育, 计划生育, 上海市卫生和计划生育委员会
司法鉴定机构, 社会发展, 司法鉴定机构, 政法综合类, 上海市司法局
律师事务所, 社会发展, 律师事务所, 政法综合类, 上海市司法局
上海市医疗机构发热门诊基本信息, 卫生健康, 发热门诊, 医药卫生管理, 上海市卫生和计划生育委员会
街道乡镇司法所, 机构团体, 法律服务、街道乡镇司法所, 政法综合类, 上海市司法局
二级医疗机构, 卫生健康, 医疗机构, 医药卫生管理, 上海市卫生和计划生育委员会
三级医疗机构, 卫生健康, 医疗机构, 医药卫生管理, 上海市卫生和计划生育委员会
上海市荣誉市民获奖者名单, 社会发展, 荣誉市民, 综合类, 上海市人民政府外事办公室
上海市领事认证量, 社会发展, 领事认证, 对外事务综合类, 上海市人民政府外事办公室
社区生活服务中心, 民生服务, 社区生活服务中心, 民政, 上海市民政局
上海市公务员管理机构概况信息, 机构团体, 上海市、公务员管理机构概况, 综合类, 上海市公务员局
超市商品价格信息, 民生服务, 超市价格, 物价, 上海市发展和改革委员会
水闸泵站运行信息6, 资源环境, 水闸泵站工况, 水利, 上海市水务局
企业获证信息, 经济建设, 许可证，生产企业, 检验、检疫, 上海市质量技术监督局
医疗器械经营企业信息, 卫生健康, 医疗器械、医疗器械经营、企业, 医药卫生管理, 上海市食品药品监督管理局
食品生产企业信息, 卫生健康, 食品、食品生产、企业, 医药卫生管理, 上海市食品药品监督管理局
保健食品生产企业信息, 卫生健康, 保健食品、保健食品生产、企业, 医药卫生管理, 上海市食品药品监督管理局
食药监机构信息, 卫生健康, 食药监机构, 医药卫生管理, 上海市食品药品监督管理局
大型科学仪器设施, 教育科技, 仪器、设施, 科技管理, 上海市科学技术委员会
技术创新服务平台, 教育科技, 技术创新平台，创新服务, 科技管理, 上海市科学技术委员会
专业技术平台, 教育科技, 专业技术，平台, 科技管理, 上海市科学技术委员会
医疗器械生产企业信息, 卫生健康, 医疗器械、医疗器械生产、企业, 医药卫生管理, 上海市食品药品监督管理局
化妆品生产企业信息, 卫生健康, 化妆品、化妆品生产、企业, 医药卫生管理, 上海市食品药品监督管理局
药品经营企业信息, 卫生健康, 药品、药品经营、企业, 医药卫生管理, 上海市食品药品监督管理局
药品生产企业信息, 卫生健康, 药品、药品生产、企业, 医药卫生管理, 上海市食品药品监督管理局
食品餐饮企业查询信息, 卫生健康, 食品、食品餐饮、企业, 医药卫生管理, 上海市食品药品监督管理局
食品流通企业信息, 卫生健康, 食品、食品流通、企业, 医药卫生管理, 上海市食品药品监督管理局
招标代理机构资质, 城市建设, 招标代理机构资质, 城乡建设, 上海市城乡建设和管理委员会
造价咨询企业资质, 城市建设, 造价咨询企业资质, 城乡建设, 上海市城乡建设和管理委员会
施工企业资质, 城市建设, 施工企业资质, 城乡建设, 上海市城乡建设和管理委员会
设计企业资质, 城市建设, 设计企业资质, 城乡建设, 上海市城乡建设和管理委员会
计生事务受理机构, 机构团体, 计生, 计划生育, 上海市卫生和计划生育委员会
监理企业资质, 城市建设, 监理资质, 城乡建设, 上海市城乡建设和管理委员会
人口计生综合服务站, 卫生健康, 计生, 计划生育, 上海市卫生和计划生育委员会
公共厕所, 民生服务, 公共厕所，地址, 综合类, 上海市绿化和市容管理局
公园绿地, 民生服务, 公园绿地, 综合类, 上海市绿化和市容管理局
古树名木, 民生服务, 古树名木, 综合类, 上海市绿化和市容管理局
绿化市容管理与服务机构, 机构团体, 机构名称，联系地址, 综合类, 上海市绿化和市容管理局
野生动植物重要栖息地, 民生服务, 野生动植物重要栖息地, 水资源, 上海市绿化和市容管理局
科技管理与服务机构, 教育科技, 科技管理，服务机构, 科技管理, 上海市科学技术委员会
上海市白蚁防治机构一览表, 民生服务, 白蚁防治, 房地产, 上海市住房保障和房屋管理局
各区（县）房屋应急维修信息, 城市建设, 应急维修, 房地产, 上海市住房保障和房屋管理局
房地产经纪企业基本信息, 城市建设, 房地产经纪企业, 房地产, 上海市住房保障和房屋管理局
拆除施工企业信息, 城市建设, 拆除施工企业, 房地产, 上海市住房保障和房屋管理局
房管行业岗位水平证书信息, 城市建设, 房管行业，岗位水平证书, 房地产, 上海市住房保障和房屋管理局
保障房工程项目信息, 城市建设, 保障房工程, 房地产, 上海市住房保障和房屋管理局
直属事业单位名录, 机构团体, 直属事业单位, 房地产, 上海市住房保障和房屋管理局
上海市商品住宅维修资金专户年度归集和划转统计表, 城市建设, 维修资金, 房地产, 上海市住房保障和房屋管理局
各区房地集团直管公房咨询、信访接待联系方式, 城市建设, 房地集团名称，信访接待, 房地产, 上海市住房保障和房屋管理局
物业管理企业基本信息, 城市建设, 物业管理企业, 房地产, 上海市住房保障和房屋管理局
拆迁资质单位基本信息, 城市建设, 拆迁资质, 房地产, 上海市住房保障和房屋管理局
房地产开发企业基本信息, 城市建设, 开发企业、资质证书, 房地产, 上海市住房保障和房屋管理局
网上房地产一手房可售数据, 民生服务, 一手房, 房地产, 上海市住房保障和房屋管理局
网上房地产二手房可售数据, 民生服务, 二手房, 房地产, 上海市住房保障和房屋管理局
全市房管局系统业务受理处信息, 机构团体, 业务受理处, 房地产, 上海市住房保障和房屋管理局
四高优秀小区信息, 城市建设, 四高优秀小区, 房地产, 上海市住房保障和房屋管理局
房地产评估企业信息, 城市建设, 房地产评估企业, 房地产, 上海市住房保障和房屋管理局
房地产交易中心名录, 机构团体, 房地产交易中心, 房地产, 上海市住房保障和房屋管理局
房屋质量检测人员信息, 城市建设, 房屋质量检测人员, 房地产, 上海市住房保障和房屋管理局
上海市房屋质量检测推荐单位信息, 城市建设, 房屋质量检测, 房地产, 上海市住房保障和房屋管理局
拆房安全管理办事机构名录, 机构团体, 拆房安全管理办事机构, 房地产, 上海市住房保障和房屋管理局
市筹公租房申请受理点信息, 机构团体, 公租房申请受理点, 房地产, 上海市住房保障和房屋管理局
区县住房保障中心名录, 机构团体, 住房保障中心名录, 房地产, 上海市住房保障和房屋管理局
区（县）房管部门名录, 机构团体, 房管部门名录, 房地产, 上海市住房保障和房屋管理局
就业促进中心相关信息, 社会发展, 机构名称、地址，联系电话、服务时间、附近交通, 劳动人事综合类, 上海市人力资源和社会保障局
上海旅游名牌产品名录, 文化休闲, 旅游名牌产品, 旅游, 上海市旅游局
上海旅游行业管理机构, 机构团体, 旅游行业管理机构, 旅游, 上海市旅游局
上海市A级景区名单, 文化休闲, 旅游，A级景区, 旅游, 上海市旅游局
上海市星级饭店名单, 文化休闲, 旅游，星级饭店, 旅游, 上海市旅游局
上海市领队人员名单, 文化休闲, 旅游，领队, 旅游, 上海市旅游局
上海市导游人员名单, 文化休闲, 旅游，导游, 旅游, 上海市旅游局
上海市旅行社名单, 文化休闲, 旅行社，名称，许可证号，地址，电话，等级, 旅游, 上海市旅游局
质监局机构信息, 机构团体, 质监机构, 机构编制, 上海市质量技术监督局
许可执业人员获证信息, 经济建设, 作业人员, 检验、检疫, 上海市质量技术监督局
检验检测机构信息, 机构团体, 检测机构、检验机构, 检验、检疫, 上海市质量技术监督局
停车场（库、位）, 道路交通, 上海停车场（库、位）的备案证号、地址、核定收费标准、时间、电话, 交通运输, 上海市交通委员会
停车场静态信息, 道路交通, 停车场核定收费标准、营业时间、联系电话、车位数、停车场性质、入口地址、出口地址, 交通运输, 上海市交通委员会
自然保护区, 民生服务, 自然保护区, 土地, 上海市绿化和市容管理局
湿地, 民生服务, 湿地, 水资源, 上海市绿化和市容管理局
车辆清洗点, 民生服务, 车辆清洗点, 综合类, 上海市绿化和市容管理局
车辆统计信息, 道路交通, 公交、出租、驾培、客运、货运信息的车辆总数, 交通运输, 上海市交通委员会
机动车维修企业, 民生服务, 机动车维修的企业名称、经营地址、经营范围、联系电话, 交通运输, 上海市交通委员会
烈士陵园, 民生服务, 烈士陵园, 民政, 上海市民政局
上海市文化产业园区情况一览表, 文化休闲, 文化，产业园区, 文体综合类, 上海市文化广播影视管理局
上海市各类演出场所情况一览表, 文化休闲, 演出，场所, 文学艺术, 上海市文化广播影视管理局
上海各区县受理窗口情况一览表（文化）, 文化休闲, 行政审批受理, 文体综合类, 上海市文化广播影视管理局
上海市电影院情况一览表, 文化休闲, 电影院, 广播、电影、电视, 上海市文化广播影视管理局
上海各类博物馆情况一览表, 文化休闲, 博物馆, 文物、考古, 上海市文化广播影视管理局
精神卫生中心, 卫生健康, 精神卫生中心, 民政, 上海市民政局
骨灰堂, 民生服务, 骨灰堂, 民政, 上海市民政局
殡仪馆, 民生服务, 殡仪馆, 民政, 上海市民政局
社区事务受理中心, 机构团体, 社区事务受理中心, 民政, 上海市民政局
宗教场所, 民生服务, 宗教场所, 综合类, 上海市民族和宗教事务委员会
经常性社会救助接收点, 民生服务, 经常性社会救助接收点, 民政, 上海市民政局
慈善超市, 民生服务, 慈善超市, 民政, 上海市民政局
海葬服务机构, 民生服务, 海葬, 民政, 上海市民政局
殡葬服务代理机构, 民生服务, 殡葬服务代理机构, 民政, 上海市民政局
公墓, 民生服务, 公墓, 民政, 上海市民政局
婚姻登记机构, 机构团体, 婚姻登记, 民政, 上海市民政局
救助管理站, 民生服务, 救助管理站, 民政, 上海市民政局
慈善救助服务社, 民生服务, 慈善救助服务社, 民政, 上海市民政局
上海市养老机构, 民生服务, 养老机构, 民政, 上海市民政局
社会救助管理机构, 机构团体, 社会救助, 民政, 上海市民政局
出入境受理点, 机构团体, 出入境受理点, 公安, 上海市公安局
居民身份证拍照点, 民生服务, 居民身份证拍照点, 公安, 上海市公安局
车管所, 道路交通, 车管所, 公安, 上海市公安局
部分农贸市场及超市主要肉蛋鱼价格, 民生服务, 肉、鸡蛋、花鲢鱼、鲫鱼, 物价, 上海市发展和改革委员会
部分超市主要粮油品种价格, 民生服务, 粮油品种价格, 物价, 上海市发展和改革委员会
生猪玉米价格, 民生服务, 猪肉价格、玉米价格, 物价, 上海市发展和改革委员会
上海市社区卫生服务中心基本信息, 卫生健康, 社区卫生, 医药卫生管理, 上海市卫生和计划生育委员会
经许可开展婚前医学检查的医疗机构, 卫生健康, 婚前医学检查, 医药卫生管理, 上海市卫生和计划生育委员会
医疗急救机构, 卫生健康, 医疗急救, 医药卫生管理, 上海市卫生和计划生育委员会
上海市职业健康检查机构, 卫生健康, 职业健康, 医药卫生管理, 上海市卫生和计划生育委员会
上海市职业病诊断机构, 卫生健康, 职业病, 医疗保健, 上海市卫生和计划生育委员会
上海市职业病鉴定办事机构, 卫生健康, 职业病, 医药卫生管理, 上海市卫生和计划生育委员会
上海市卫生监督机构, 机构团体, 卫生监督, 医药卫生管理, 上海市卫生和计划生育委员会
上海市公共场所卫生技术服务机构, 卫生健康, 公共场所, 医药卫生管理, 上海市卫生和计划生育委员会
上海市放射卫生技术服务机构, 卫生健康, 放射卫生, 医药卫生管理, 上海市卫生和计划生育委员会
上海市从业人员预防性健康检查机构, 卫生健康, 健康检查, 医药卫生管理, 上海市卫生和计划生育委员会
上海市犬伤门诊基本信息, 卫生健康, 犬伤, 医药卫生管理, 上海市卫生和计划生育委员会
上海市结核病定点医院, 卫生健康, 结核病, 医药卫生管理, 上海市卫生和计划生育委员会
上海市接种门诊信息, 卫生健康, 接种门诊, 医药卫生管理, 上海市卫生和计划生育委员会
上海市艾滋病自愿免费咨询检测点, 卫生健康, 艾滋病, 医药卫生管理, 上海市卫生和计划生育委员会
上海市、区县眼病防治机构, 卫生健康, 眼病防治, 医药卫生管理, 上海市卫生和计划生育委员会
上海市、区县牙病防治机构, 卫生健康, 牙病防治, 医药卫生管理, 上海市卫生和计划生育委员会
上海市、区县疾病预防控制机构, 卫生健康, 疾病预防控制, 医药卫生管理, 上海市卫生和计划生育委员会
本市道路主要管理措施, 道路交通, 本市道路主要管理措施, 公安, 上海市公安局
外环线以内区域机动车道路停车场, 道路交通, 外环线以内区域机动车道路停车场, 公安, 上海市公安局
摄像头设置地点, 道路交通, 道路摄像头设置地点, 公安, 上海市公安局
交通事故理赔中心, 机构团体, 交通事故理赔中心, 公安, 上海市公安局
交通事故自行协商处理便民服务点高架道路&ldquo;便民服务箱&rdquo;位置分布, 道路交通, 交通事故，自行协商，处理服务点, 公安, 上海市公安局
交通管理与服务机构, 机构团体, 交通管理与服务机构, 公安, 上海市公安局
机动车违法受理点, 机构团体, 机动车违法受理点, 公安, 上海市公安局
上海市校外教育机构名单, 教育科技, 青少年，活动中心，联系方式，特色教育, 教育, 上海市教育委员会
节能服务机构, 资源环境, 机构名称、地址、服务时间、联系电话, 工业, 上海市经济和信息化委员会
产业结构调整市重点项目, 经济建设, 产业名称、地址、所属行业、占地面积、调整方式, 企业, 上海市经济和信息化委员会
上海市教育管理与服务机构名单, 教育科技, 教育，事业单位, 教育, 上海市教育委员会
上海市学前教育机构名单, 教育科技, 幼儿园，联系方式, 教育, 上海市教育委员会
上海市职业教育机构名单, 教育科技, 中职校，联系方式, 教育, 上海市教育委员会
学生体质健康监测中心名单, 卫生健康, 学生，体质健康, 教育, 上海市教育委员会
派出所基本情况, 公共安全, 派出所, , 上海市公安局
上海服务外包示范区基本情况, 经济建设, 服务外包、示范区, 商贸综合类, 上海市商务委员会
上海全社会固定资产投按经济类型分, 经济建设, 按经济类型分的固定资产投资, 统计, 上海市统计局
全市机动车维修行业统计, 道路交通, 全市机动车维修行业统计, 交通运输, 上海市交通运输和港口管理局
全市公共停车场库经营统计, 道路交通, 全市公共停车场库经营统计, 交通运输, 上海市交通运输和港口管理局
全市营运交通工具统计, 道路交通, 全市范围内各类营运交通工具统计数据, 交通运输, 上海市交通运输和港口管理局
全市营运交通线路统计, 道路交通, 全市营运交通线路统计, 交通运输, 上海市交通运输和港口管理局
国内航运企业名录, 道路交通, 全市国内航运企业名称等信息, 交通运输, 上海市交通运输和港口管理局
港口经营企业名录, 道路交通, 全市（不含区县）港口经营企业名称, 交通运输, 上海市交通运输和港口管理局
全市2011年机动车维修质量信誉考核3A企业名录, 道路交通, 全市2011年机动车维修质量信誉考核、3A企业名称、联系方式, 交通运输, 上海市交通运输和港口管理局
全市道路货运出租企业名录, 道路交通, 全市道路货运、出租企业名称、联系方式, 企业, 上海市交通运输和港口管理局
全市道路货运搬场企业名录, 道路交通, 全市道路货运、搬场企业名称、联系方式, 企业, 上海市交通运输和港口管理局
安全技术防范产品持证信息, 公共安全, 安全技术防范产品、持证信息, 公安, 上海市公安局
公共信用信息查询服务, 信用服务, 公共信用信息，查询服务, 综合类, 上海市经济和信息化委员会
车辆环保标志作废声明, 资源环境, 车辆、环保标志, 环境保护、治理, 上海市环境保护局
高级专业技术职务任职资格评审通过人员公示信息, 社会发展, 高级、任职、评审、通过, 工资职称, 上海市人力资源和社会保障局
政府补贴培训清单信息, 社会发展, 政府补贴、培训、项目、等级、培训机构, 劳动人事综合类, 上海市人力资源和社会保障局
事业单位招录信息, 社会发展, 事业单位、招聘、聘用、公示, 人事工作, 上海市人力资源和社会保障局
职业培训机构信息, 社会发展, 职业培训机构信息、名称、地址、区县、联系电话、培训项目, 劳动人事综合类, 上海市人力资源和社会保障局
中高级专业技术职务任职资格评审信息, 社会发展, 专业技术、资格、评审, 工资职称, 上海市人力资源和社会保障局
非碘盐供应点, 民生服务, 非碘盐供应点, 综合类, 上海市经济和信息化委员会
规范性文件审查意见书, 社会发展, 审查意见书, 综合类, 上海市人民政府法制办公室
行政复议决定书, 社会发展, 行政复议, 综合类, 上海市人民政府法制办公室
本市会计从业资格持证人员基础信息, 教育科技, 会计、基础信息, 会计, 上海市财政局
供水水量统计信息, 资源环境, 供水、水量, 水利, 上海市水务局
出版专业技术人员责任编辑注册, 教育科技, 出版责任编辑, 新闻出版, 上海市新闻出版局
报纸基本信息, 文化休闲, 报纸, 新闻出版, 上海市新闻出版局
期刊基本信息, 文化休闲, 期刊, 新闻出版, 上海市新闻出版局
连续性内部资料信息, 文化休闲, 内部资料, 新闻出版, 上海市新闻出版局
新闻记者信息, 文化休闲, 新闻记者, 新闻出版, 上海市新闻出版局
图书出版机构, 文化休闲, 图书出版, 新闻出版, 上海市新闻出版局
音像、电子出版机构, 文化休闲, 音像电子出版, 新闻出版, 上海市新闻出版局
互联网出版单位信息, 文化休闲, 互联网出版, 新闻出版, 上海市新闻出版局
网络游戏产品信息, 文化休闲, 网络游戏, 新闻出版, 上海市新闻出版局
1000万总产值规模以上印刷企业信息, 文化休闲, 印刷企业, 新闻出版, 上海市新闻出版局
版权服务工作站, 文化休闲, 版权服务, 新闻出版, 上海市新闻出版局
出版物进口经营单位信息, 文化休闲, 出版物进口经营单位, 新闻出版, 上海市新闻出版局
上海市&ldquo;早餐工程&rdquo;网点分布情况, 民生服务, 早餐, 商贸综合类, 上海市商务委员会
企业注册登记统计, 经济建设, 企业，注册登记，统计, 工商, 上海市工商行政管理局
工商不良记录, 经济建设, 工商，行政处罚, 工商, 上海市工商行政管理局
上海市水务局行政许可决定书, 资源环境, 审批、备案、许可证, 水利, 上海市水务局
水务海洋业务受理综合信息-结果公告, 资源环境, 行政审批、结果公告, 水利, 上海市水务局
水务海洋业务受理综合信息-办理状态, 资源环境, 行政审批、办理状态, 水利, 上海市水务局
水务海洋业务受理综合信息-收件公告, 资源环境, 行政审批、收件公告, 水利, 上海市水务局
交通出行信息, 道路交通, 实时交通信息、掘路占路信息、快速封路信息，, 交通运输, 上海市交通委员会
统计年鉴查询, 社会发展, 统计年鉴查询, 统计, 上海市统计局
河道水质, 资源环境, 河道水质, 水利, 上海市水务局
水资源公报, 资源环境, 公报, 水利, 上海市水务局
人才服务中心相关信息, 机构团体, 单位名称、联系地址、邮政编码、联系电话, 劳动人事综合类, 上海市人力资源和社会保障局
市社保中心各分中心相关信息, 机构团体, 单位名称、地址、联系电话、服务时间、附近交通, 劳动人事综合类, 上海市人力资源和社会保障局
医保中心相关信息, 卫生健康, 单位名称、地址、联系电话、服务时间、附近交通, 医疗保健, 上海市人力资源和社会保障局
医保定点药房, 卫生健康, 所属区县、药房名称、地址、邮政编码, 医疗保健, 上海市人力资源和社会保障局
医保定点医院, 卫生健康, 所属区县、单位名称、地址、邮政编码, 医疗保健, 上海市人力资源和社会保障局
医保药品目录, 卫生健康, 品名称、剂型、支付（比例）、限定支付及备注, 医疗保健, 上海市人力资源和社会保障局
企业基本信息查询, 经济建设, 企业税务基本信息查询，税务登记号，经营地址，法人代表，征管分局，状态, 税务, 上海市地方税务局
个人住房房产税应税及已缴税情况查询, 民生服务, 个人住房房产税应税及已缴税情况查询, 税务, 上海市地方税务局
按季纳税申报企业名单查询, 经济建设, 按季纳税申报企业名单查询, 税务, 上海市地方税务局
办税地图, 经济建设, 办税地图，对外服务窗口分布情况，名称，地址，电话, 税务, 上海市地方税务局
上海市会计从业资格考试成绩查询, 教育科技, 会计从业资格考试、会计上岗证考试, 会计, 上海市财政局
广告经营许可证查询服务应用, 经济建设, 广告经营，许可证，查询, 工商, 上海市工商行政管理局
营业执照公示查询查询服务应用, 经济建设, 企业，营业执照，公示，查询, 工商, 上海市工商行政管理局
企业工商信息, 经济建设, 企业，工商，信息, 工商, 上海市工商行政管理局
上海市中外合作办学机构/项目查询应用, 教育科技, 中外合作，办学，信息, 教育, 上海市教育委员会
上海市民办教育机构查询应用, 教育科技, 民办，教育，许可证, 教育, 上海市教育委员会
主要统计指标解释查询, 社会发展, 主要统计指标解释查询, 统计, 上海市统计局
上海市基础测绘成果, 城市建设, 上海市基础测绘成果、产品分类、产品名称、覆盖范围、更新周期、数据格式、坐标系统、单价、备注, 城乡规划, 上海市规划和国土资源管理局
上海市历史风貌保护区, 文化休闲, 上海市历史风貌保护区, 城乡规划, 上海市规划和国土资源管理局
上海市优秀历史建筑, 文化休闲, 上海市优秀历史建筑, 城乡规划, 上海市规划和国土资源管理局
土地出让公告信息, 城市建设, 土地出让公告信息、地块公告号、地块名称、四至范围、准入产业类型、土地总面积、出让面积、容积率、建筑密度、投资强度、保证金, 土地, 上海市规划和国土资源管理局
上海食用农产品流通安全情况, 民生服务, 农产品、流通、安全, 商贸综合类, 上海市商务委员会
联合国贸易网点信息, 经济建设, 联合国、贸易、网点, 商贸综合类, 上海市商务委员会
上海市停车场位置查询, 道路交通, 停车场、位置信息, 交通运输, 上海市交通运输和港口管理局
上海市轨道周边公交, 道路交通, 轨道周边、公交站点, 交通运输, 上海市交通运输和港口管理局
营业执照公示查询, 经济建设, 工商，营业执照，查询, 工商, 上海市工商行政管理局
二手房出售出租信息查询, 民生服务, 二手房, 房地产, 上海市住房保障和房屋管理局
一手房开盘成交信息查询, 民生服务, 一手房, 房地产, 上海市住房保障和房屋管理局

