数据条目, 资源分类,资源主题, 提供单位
1-11月全市工业经济运行情况, 数据, 政府机构, 市经济和信息化委员会
1-4月青山区社会消费品零售总额情况, 服务, 政府机构, 青山区
1-4月青山区食品安全抽检情况, 数据, 政府机构, 青山区
1-4月市级重大项目完成投资呈现较快增长态势, 数据, 政府机构, 市发展和改革委员会
1-6月份我市汽车及零部件产业发展情况, 数据, 政府机构, 市发展和改革委员会
1号线工作日首末班车时间, 数据, 交通服务, 市地铁集团
1号线双休日首末班车时间, 数据, 交通服务, 市地铁集团
2008-2014年科技保险费补贴情况表, 数据, 政府机构, 市科学技术局
2009年统计年鉴, 服务, 经济发展, 市统计局
2010-2011年度土地登记结果, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2010年东西湖区政府采购办公用纸定点服务供应商名单, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2010年东西湖区政府采购公务印刷定点服务供应商名单, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2010年东西湖区政府采购公务用车保险服务定点供应商名单, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2010年东西湖区政府采购公务用车维修服务定点供应商名单, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2010年统计年鉴, 服务, 经济发展, 市统计局
2011-2014年保障安居工程计划表, 数据, 经济发展, 汉南区
2011年分市州税收收入完成情况表, 数据, 经济发展, 市地税局
2011年社保费完成情况表, 数据, 经济发展, 市地税局
2011年税收合计表, 数据, 经济发展, 市地税局
2011年统计年鉴, 服务, 经济发展, 市统计局
2012年统计年鉴, 服务, 经济发展, 市统计局
2013年度东湖高新区统计报告, 数据, 教育科技, 东湖新技术开发区管委会
2013年武汉市安全评价机构星级评定结果, 数据, 公共服务, 市安全生产监督管理局
2013年武汉市专利统计分析报告, 数据, 公共服务, 市科学技术局
2014地质灾害危险性评估备案表, 数据, 能源环境, 江夏区
2014年1-11月各区体彩服务站社会渠道销量统计表, 数据, 公共服务, 市体育局
2014年10月10日周边省会城市价格行情表, 数据, 公共服务, 市发展和改革委员会
2014年蔡甸区环境状况公报, 数据, 能源环境, 蔡甸区
2014年东湖环境空气质量污染物监测数据一览表, 数据, 能源环境, 东湖生态旅游风景区管委会
2014年度全市各类档案馆基本情况一览表, 数据, 政府机构, 市档案局
2014年度武汉化学工业区管理委员会部门决算, 数据, 经济发展, 武汉化学工业区管委会
2014年洪山区“三公”经费决算财政拨款情况统计表, 服务, 政府机构, 洪山区
2014年洪山区财政局公开财政收支预算表, 数据, 政府机构, 洪山区
2014年洪山区政府性基金收支决算表, 数据, 政府机构, 洪山区
2014年秋季武汉市各级各类学校收费政策, 数据, 教育科技, 市发展和改革委员会
2014年全市医疗器械生产企业产品抽检情况, 数据, 医疗卫生, 市食品药品监督管理局
2014年社会体育活动资助项目一览表, 数据, 文化娱乐, 市体育局
2014年食品药品安全案件查处明细表, 数据, 医疗卫生, 汉南区
2014年武昌区建筑业运行情况分析及建议, 数据, 经济发展, 武昌区
2014年武汉化工区“三公”经费一般公共预算财政拨款支出决算表, 服务, 经济发展, 武汉化学工业区管委会
2014年武汉市东西湖区环境状况公报, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2014年武汉市工业经济情况, 数据, 政府机构, 市经济和信息化委员会
2014年武汉市国控企业名单, 数据, 能源环境, 市环境保护局
2014年武汉市市级“三公”经费情况, 服务, 经济发展, 市财政局
2014年武汉市专利统计分析, 数据, 教育科技, 市科学技术局
2014年武汉新港发展专项资金建设支出类项目竞争性分配专家集中评审结果公示, 数据, 经济发展, 武汉新港管委会
2015 年“三公”经费预算财政 拨款（补助）情况统计表, 服务, 政府机构, 洪山区
2015-2017年度武汉市武昌区政府采购公务用车保险定点服务供应商名单, 数据, 政府机构, 武昌区
2015-2017年度武汉市武昌区政府采购公务用车加油定点服务供应商名单, 数据, 政府机构, 武昌区
2015-2017年度武汉市武昌区政府采购公务用车维修定点服务供应商名单, 数据, 政府机构, 武昌区
2015建设项目竣工环境保护验收1, 数据, 经济发展, 武昌区
2015建设项目竣工环境保护验收2, 数据, 经济发展, 武昌区
2015年1-11月江夏区主要经济指标, 数据, 政府机构, 江夏区
2015年1-12月城市医疗救助补助资金公开, 数据, 政府机构, 武昌区
2015年1-12月市科技局财政专项资金预算执行进度公开, 数据, 教育科技, 市科学技术局
2015年1-3月主要经济指标, 数据, 政府机构, 江夏区
2015年1-4月份我区经济发展稳中有升, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2015年1-6月东湖水环境质量状况, 数据, 能源环境, 东湖生态旅游风景区管委会
2015年1-9月武汉市国民经济主要指标, 数据, 金融服务, 市审计局
2015年10月统计月报, 数据, 政府机构, 江汉区
2015年12月城市建设项目配套绿化用地面积审批情况一览表, 数据, 能源环境, 市园林和林业局
2015年12月出厂水常规检测项目监测结果（35项）, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2015年12月营运服务热线受理情况公开, 数据, 公共服务, 市公交集团
2015年4季度建筑材料质量抽查不合格产品名单, 数据, 教育科技, 市质量技术监督局
2015年4月份全区农村村湾环境卫生考核评分排名, 数据, 能源环境, 蔡甸区
2015年6月出厂水常规检测项目监测结果(35项), 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2015年6月份全市控制和查处违法建设检查考评情况, 数据, 政府机构, 市城市管理委员会
2015年9月出厂水常规检测项目监测结果(35项), 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2015年9月统计快报, 数据, 经济发展, 蔡甸区
2015年财政拨款（补助）支出预算表, 数据, 经济发展, 洪山区
2015年财政预算执行和2016年财政预算, 数据, 政府机构, 汉南区
2015年蔡甸区享受农机购置补贴的购机者信息表（第三批）, 数据, 经济发展, 蔡甸区
2015年春季学期中等职业教育国家助学金资金项目安排情况表, 数据, 政府机构, 市教育局
2015年春季学期中等职业教育免学费补助资金项目安排情况表, 数据, 政府机构, 市教育局
2015年第二批农村义务教育阶段家庭经济困难寄宿生生活费中央和省补助资金项目安排情况表, 数据, 政府机构, 市教育局
2015年东西湖区事业单位公开招聘拟聘用人员情况的公示, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2015年度城乡医疗救助资金拨付及发放表, 数据, 政府机构, 江夏区
2015年度公共卫生服务体系建设补助资金拨付及发放表, 数据, 政府机构, 江夏区
2015年度洪山区保障性安居工程目标任务完成情况表, 数据, 公共服务, 洪山区
2015年度洪山区创新创业平台公示名单, 数据, 经济发展, 洪山区
2015年度洪山区专利技术转化项目名单, 数据, 经济发展, 洪山区
2015年度金口街城乡居民医疗补助资金拨付及发放表, 数据, 政府机构, 江夏区
2015年度纳税信用A级纳税人名单（单管）, 数据, 经济发展, 市地税局
2015年度纳税信用A级纳税人名单（共管）, 数据, 经济发展, 市地税局
2015年国家级公益林森林生态效益补偿基金项目安排情况表, 数据, 能源环境, 市园林和林业局
2015年汉阳区人大财政拨款(补助)支出预算表, 服务, 政府机构, 汉阳区
2015年汉阳区人大收支预算总表, 服务, 政府机构, 汉阳区
2015年洪山区公共财政收支预算表, 数据, 政府机构, 洪山区
2015年洪山区校企合作产学研基地公示名单, 数据, 教育科技, 洪山区
2015年湖北省外贸进出口, 数据, 经济发展, 武汉海关
2015年黄陂区卫生和计划生育委员会部门预算公开, 服务, 医疗卫生, 黄陂区
2015年黄陂区新农合定点医疗机构住院医疗费补偿一览表, 数据, 政府机构, 黄陂区
2015年黄陂区质量技术监督局预算公开, 服务, 经济发展, 黄陂区
2015年末湖北省保险业经营情况统计表, 数据, 金融服务, 市金融工作局
2015年末湖北省典当业发展情况统计表, 数据, 金融服务, 市金融工作局
2015年末湖北省各市（州）保险经营情况统计表, 数据, 金融服务, 市金融工作局
2015年末湖北省各市（州）信贷情况统计表, 数据, 金融服务, 市金融工作局
2015年末湖北省及全国“新三板”挂牌企业情况统计表, 数据, 金融服务, 市金融工作局
2015年末湖北省及全国证券营业部基本经营情况统计表, 数据, 金融服务, 市金融工作局
2015年末湖北省金融机构本外币信贷收支表, 数据, 金融服务, 市金融工作局
2015年末湖北省金融机构人民币信贷收支表, 数据, 金融服务, 市金融工作局
2015年末湖北省融资性担保公司发展情况统计表, 数据, 金融服务, 市金融工作局
2015年末湖北省上市公司经营情况统计表, 数据, 金融服务, 市金融工作局
2015年末湖北省小额贷款公司发展情况统计表, 数据, 金融服务, 市金融工作局
2015年末全国各省市（含外资）人民币存款增长情况统计表, 数据, 金融服务, 市金融工作局
2015年末全国各省市（含外资）人民币贷款增长情况统计表, 数据, 金融服务, 市金融工作局
2015年末中部六省地区社会融资规模统计表, 数据, 金融服务, 市金融工作局
2015年末中部六省人民币存贷款增长情况统计表, 数据, 金融服务, 市金融工作局
2015年末中部六省证券业基本情况统计表, 数据, 金融服务, 市金融工作局
2015年区委办“三公”经费财政拨款预算表, 服务, 政府机构, 汉阳区
2015年区委办财政拨款(补助)支出预算表, 服务, 政府机构, 汉阳区
2015年区委办收支预算总表, 服务, 政府机构, 汉阳区
2015年全市企业标准备案目录, 数据, 教育科技, 市质量技术监督局
2015年上半年居民收入快报, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2015年省级公益林生态效益补偿资金项目安排情况表, 数据, 能源环境, 市园林和林业局
2015年通过合格确认企业名单, 数据, 教育科技, 市质量技术监督局
2015年武昌区一般公共财政收入情况表, 数据, 政府机构, 武昌区
2015年武昌区一般公共财政支出情况表, 数据, 政府机构, 武昌区
2015年武昌区政府性基金收支情况表, 数据, 政府机构, 武昌区
2015年武汉市~口区政府信息公开工作年度报告, 数据, 政府机构, ~口区
2015年武汉市汉阳区政府性基金收支预算表, 服务, 政府机构, 汉阳区
2015年武汉市青少年比赛承办单位、各单位参赛人数一览表, 数据, 文化娱乐, 市体育局
2015年一季度副省级城市软件和信息技术服务业发展状况比较, 数据, 教育科技, 市科学技术局
2015年政府工作报告, 数据, 政府机构, 新洲区
2015年中央退耕还林完善政策补助资金项目安排情况表, 数据, 能源环境, 市园林和林业局
2015上半年柴油、化肥综合直补资金, 数据, 政府机构, 东湖生态旅游风景区管委会
2015上半年城乡居民医疗补助资金, 数据, 政府机构, 东湖生态旅游风景区管委会
2015上半年抚恤补助资金, 数据, 政府机构, 东湖生态旅游风景区管委会
2015上半年计划生育家庭特别扶助制度专项资金, 数据, 政府机构, 东湖生态旅游风景区管委会
2015上半年就业补助资金, 数据, 政府机构, 东湖生态旅游风景区管委会
2015上半年困难群众生活救助补助资金, 数据, 政府机构, 东湖生态旅游风景区管委会
2015上半年粮食直接补贴资金, 数据, 政府机构, 东湖生态旅游风景区管委会
2015夜间施工审批, 数据, 经济发展, 武昌区
2015政府公报9-12月（第十二期）, 数据, 政府机构, 黄陂区
2016 年“三公”经费预算财政拨款（补助）情况统计表, 服务, 政府机构, 洪山区
2016年03月“韩国线快班”船期安排表, 数据, 经济发展, 武汉新港管委会
2016年03月“日本线快班”船期安排表, 数据, 经济发展, 武汉新港管委会
2016年1-2月困难群众基本生活救助补助资金公开, 数据, 政府机构, 武昌区
2016年1-2月批准的建设项目环境影响评价文件, 数据, 能源环境, 蔡甸区
2016年1-3月藏龙岛办事处农村新型合作医疗补助资金拨付及发放表, 数据, 政府机构, 江夏区
2016年1-3月城市建设项目配套绿化用地面积审批情况一览表, 数据, 能源环境, 市园林和林业局
2016年1-3月大桥新区农村新型合作医疗补助资金拨付及发放表, 数据, 政府机构, 江夏区
2016年1-3月法泗街农村新型合作医疗补助资金拨付及发放表, 数据, 政府机构, 江夏区
2016年1-3月江夏区主要经济指标, 数据, 政府机构, 江夏区
2016年1-3月金水办事处农村新型合作医疗补助资金拨付及发放表, 数据, 政府机构, 江夏区
2016年1-3月山坡街农村新型合作医疗补助资金拨付及发放表, 数据, 政府机构, 江夏区
2016年1-3月统计图表, 服务, 经济发展, 市统计局
2016年1-3月武汉市国民经济主要指标, 数据, 经济发展, 市统计局
2016年1-3月五里界街农村新型合作医疗补助资金拨付及发放表, 数据, 政府机构, 江夏区
2016年1月2月3月农村新型合作医疗补助资金（邾城街）, 数据, 医疗卫生, 新洲区
2016年1月2月农村低保资金（邾城街）, 数据, 政府机构, 新洲区
2016年1月~口区湖泊水质监测简报, 数据, 政府机构, ~口区
2016年1月食品安全监督抽验结果公示, 数据, 医疗卫生, 市食品药品监督管理局
2016年1月营运服务热线受理情况公开, 数据, 公共服务, 市公交集团
2016年1至2月贸易统计数据, 数据, 经济发展, 武汉海关
2016年2月~口古田空气质量月报, 数据, 政府机构, ~口区
2016年2月出厂水常规检测项目监测结果（35项）, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2016年2月洪山区孤儿生活费存折发放明细表, 数据, 政府机构, 洪山区
2016年2月武汉市国税局税务行政许可结果公示, 数据, 政府机构, 市国税局
2016年3月“武汉-东盟试验航线”船期安排表, 数据, 经济发展, 武汉新港管委会
2016年3月“泸汉台快班”船期安排表, 数据, 经济发展, 武汉新港管委会
2016年3月份~口区各行业部门隐患排查治理“两化”绩效评分表, 数据, 公共安全, ~口区
2016年3月份全市城市综合管理工作的情况, 数据, 政府机构, 市文明办
2016年3月洪山区孤儿生活费存折发放明细表, 数据, 政府机构, 洪山区
2016年3月武汉市国税局税务行政许可结果公示, 数据, 政府机构, 市国税局
2016年4月11日-4月17日~口区疾控中心生活饮用水每日监测结果, 数据, 政府机构, ~口区
2016年4月出厂水常规检测项目监测结果（35项）, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2016年4月份全市“一书三证”发放情况, 数据, 经济发展, 市国土资源和规划局
2016年4月份全市后五名企业及工地排名, 数据, 政府机构, 市城市管理委员会
2016年4月武汉市城区和县级集中式生活饮用水水源水质状况, 数据, 能源环境, 市环境保护局
2016年4月武汉市地表水环境质量状况, 数据, 能源环境, 市环境保护局
2016年5月河流水质评价结果一览表, 数据, 能源环境, 市环境保护局
2016年5月湖泊水质评价结果一览表, 数据, 能源环境, 市环境保护局
2016年6月6日7日8日12日青山区疾控中心生活饮用水每日监测结果, 数据, 政府机构, 青山区
2016年财政拨款（补助）支出预算表, 数据, 经济发展, 洪山区
2016年财政收支情况信息公开, 数据, 政府机构, 东湖生态旅游风景区管委会
2016年~口区区级“三公”经费财政拨款预算表, 服务, 政府机构, ~口区
2016年城市低保资金发放表（1月）, 数据, 政府机构, 蔡甸区
2016年城市低保资金发放表（2月）, 数据, 政府机构, 蔡甸区
2016年城市低保资金发放表（3月）, 数据, 政府机构, 蔡甸区
2016年城市义务教育补助经费拨付情况表, 数据, 政府机构, 江夏区
2016年城乡居民医疗救助资金发放表（1月）, 数据, 政府机构, 蔡甸区
2016年城乡居民医疗救助资金发放表（2月）, 数据, 政府机构, 蔡甸区
2016年城乡居民医疗救助资金发放表（3月）, 数据, 政府机构, 蔡甸区
2016年第2号工业用地网挂公告成交信息表, 数据, 经济发展, 市国土资源和规划局
2016年第7号公告挂牌成交信息表, 数据, 经济发展, 市国土资源和规划局
2016年第一季度城市居民最低生活补助资金（邾城街）, 数据, 政府机构, 新洲区
2016年第一季度抚恤补助资金（邾城街）, 数据, 政府机构, 新洲区
2016年东湖风景区公共财政收支预算安排情况, 服务, 政府机构, 东湖生态旅游风景区管委会
2016年东湖生态旅游风景区政府性基金收支预算安排情况, 数据, 政府机构, 东湖生态旅游风景区管委会
2016年东西湖区国土局部门预算收支预算总表, 服务, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2016年东西湖区三公经费预算财政拨款补助情况统计表, 服务, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2016年东西湖区政府工作报告, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2016年度“百万市民学科学――武汉市科普助推行动计划”数据库, 数据, 政府机构, 市科协
2016年公共卫生服务体系建设补助资金拨付情况表, 数据, 政府机构, 江夏区
2016年共青团黄陂区委预算公开, 服务, 政府机构, 黄陂区
2016年国有资本经营收支预算表, 服务, 政府机构, 青山区
2016年汉阳区区级“三公”经费财政拨款预算表, 服务, 政府机构, 汉阳区
2016年化工区一般公共预算支出明细表（项级科目明细）, 数据, 经济发展, 武汉化学工业区管委会
2016年黄陂区农工委部门预算公开说明, 服务, 政府机构, 黄陂区
2016年黄陂区省市级重大项目第一季度情况汇报, 数据, 经济发展, 黄陂区
2016年黄陂区统计局预算公开, 服务, 政府机构, 黄陂区
2016年江岸区本级“三公”经费财政拨款预算表, 服务, 政府机构, 江岸区
2016年江岸区区本级“三公”经费财政拨款预算情况说明, 服务, 政府机构, 江岸区
2016年江汉区城区改造和房屋征收管理办公室预算公开, 服务, 政府机构, 江汉区
2016年江汉区工商联预算公开, 服务, 政府机构, 江汉区
2016年江汉区公文交换站预算公开, 服务, 公共服务, 江汉区
2016年江汉区汉口火车站综合管理办公室预算公开, 服务, 政府机构, 江汉区
2016年江汉区媒体传播发展中心预算公开, 服务, 政府机构, 江汉区
2016年江汉区区委政研室预算公开, 服务, 政府机构, 江汉区
2016年江汉区人大议案、代表建议和政协建议案、委员提案办理工作方案, 数据, 政府机构, 江汉区
2016年江汉区食药监局预算公开, 服务, 政府机构, 江汉区
2016年江汉区文明办预算公开, 服务, 政府机构, 江汉区
2016年江汉区信访局预算公开, 服务, 政府机构, 江汉区
2016年江汉区政法委预算公开, 服务, 政府机构, 江汉区
2016年江汉区政府办（含法制办）预算公开, 服务, 政府机构, 江汉区
2016年民政局收支预算总表, 服务, 政府机构, 黄陂区
2016年农村低保资金发放表（1月）, 数据, 政府机构, 蔡甸区
2016年农村低保资金发放表（2月）, 数据, 政府机构, 蔡甸区
2016年农村义务教育公用经费拨付情况表, 数据, 政府机构, 江夏区
2016年青山区区级三公经费财政拨款预算表, 服务, 政府机构, 青山区
2016年青山区一般公共财政预算支出表-功能分类, 服务, 政府机构, 青山区
2016年青山区一般公共预算支出表-经济分类-款级, 服务, 政府机构, 青山区
2016年青山区一般公共预算支出表-经济分类-类级, 服务, 政府机构, 青山区
2016年青山区政府性基金收支预算表, 服务, 政府机构, 青山区
2016年区农业局“三公”经费预算, 服务, 能源环境, 黄陂区
2016年区委办收支预算总表, 服务, 政府机构, 洪山区
2016年区直机关工委部门预算公开, 服务, 政府机构, 黄陂区
2016年食品安全监督抽检合格产品及不合格产品信息, 数据, 医疗卫生, 市食品药品监督管理局
2016年收支预算总表, 服务, 政府机构, 武昌区
2016年武昌区“三公”经费财政拨款预算表, 服务, 政府机构, 武昌区
2016年武昌区一般公共财政收入预算安排情况表, 服务, 政府机构, 武昌区
2016年武昌区一般公共财政预算经济分类支出预算表(项级科目), 数据, 政府机构, 武昌区
2016年武昌区一般公共财政支出预算安排情况表, 服务, 政府机构, 武昌区
2016年武汉东湖新技术开发区“三公”经费财政拨款预算情况说明, 服务, 教育科技, 东湖新技术开发区管委会
2016年武汉东湖新技术开发区管理委员会“三公”经费财政拨款情况统计表, 服务, 教育科技, 东湖新技术开发区管委会
2016年武汉东湖新技术开发区管理委员会部门预算公开说明, 服务, 教育科技, 东湖新技术开发区管委会
2016年武汉东湖新技术开发区管理委员会财政拨款(补助)支出预算表, 服务, 教育科技, 东湖新技术开发区管委会
2016年武汉东湖新技术开发区管理委员会收支预算总表, 服务, 教育科技, 东湖新技术开发区管委会
2016年武汉化学工业区一般公共预算安排情况, 数据, 经济发展, 武汉化学工业区管委会
2016年武汉市东西湖区公共财政收支预算表, 服务, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2016年武汉市东西湖区国有资本经营收支预算表, 服务, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2016年武汉市东西湖区一般公共预算支出预算表, 服务, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2016年武汉市东西湖区政府性基金收支预算表, 服务, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
2016年武汉市科普助推行动计划专项资金分配表, 数据, 政府机构, 市科协
2016年武汉市青少年体育比赛安排表, 数据, 文化娱乐, 市体育局
2016年武汉中央商务区管理委员会预算公开, 服务, 政府机构, 江汉区
2016年新型农村合作医疗补助, 数据, 政府机构, 蔡甸区
2016年一般公共预算收支预算表, 服务, 政府机构, 青山区
2016年一季度义务段生均经费（含免杂费）明细表, 数据, 政府机构, 武昌区
2016年一月份食用油商品质量监测合格商品及被监测人名单, 数据, 医疗卫生, 市食品药品监督管理局
2016年政府工作报告, 数据, 政府机构, 黄陂区
2016年中共江汉区委办公室预算公开, 服务, 政府机构, 江汉区
2号线工作日首末班车时间, 数据, 交通服务, 市地铁集团
2号线双休日首末班车时间, 数据, 交通服务, 市地铁集团
4号线工作日首末班车时间, 数据, 交通服务, 市地铁集团
4号线双休日首末班车时间, 数据, 交通服务, 市地铁集团
508、324、605路起点站点调整, 数据, 公共服务, 市交通运输委员会
863计划成果产业化基地（批准部门：科技部）, 数据, 教育科技, 市科学技术局
“和”字书法(草书)普通纪念币公开发行兑换点信息一览表, 数据, 金融服务, 市金融工作局
“老武昌”游览专线信息, 数据, 公共服务, 市交通运输委员会
《武汉市普通中小学布局规划（2013-2020年）》, 数据, 教育科技, 市国土资源和规划局
《武汉市医疗卫生设施空间布局规划（2011-2020年）》, 数据, 医疗卫生, 市国土资源和规划局
百货超市, 服务, 公共服务, 市国土资源和规划局
半年武汉市国民经济主要指标, 数据, 经济发展, 市统计局
办理法医（病理、临床、物证、毒物）类司法业务公司, 数据, 法律服务, 市司法局
办理建筑工程质量与产品质量类司法业务公司, 数据, 法律服务, 市司法局
办理经济鉴证类司法业务公司, 数据, 法律服务, 市司法局
办理物证和声像资料类司法业务公司, 数据, 法律服务, 市司法局
办税地图, 服务, 经济发展, 市国税局
保温材料企业备案查询, 服务, 政府机构, 市城乡建设委员会
保障性安居工程开工目标项目表, 数据, 经济发展, 江汉区
报建工程查询, 服务, 政府机构, 市城乡建设委员会
备案燃气工程, 数据, 经济发展, 市城市管理委员会
本地消防联系方式, 数据, 公共安全, 市公安局
标定地价, 数据, 公共服务, 市国土资源和规划局
博物馆名录一览表, 数据, 文化娱乐, 市文化局
博物馆详细名录, 数据, 文化娱乐, 市文化局
不良行为公示, 服务, 政府机构, 市城乡建设委员会
不再实施强制性产品认证管理的产品清单, 数据, 经济发展, 市质量技术监督局
部分国宝单位, 服务, 文化娱乐, 市文化局
菜篮子价格行情, 服务, 公共服务, 市发展和改革委员会
蔡甸电信公司营业厅情况, 数据, 公共服务, 蔡甸区
蔡甸区2015年12月优救对象社会化发放表, 数据, 政府机构, 蔡甸区
蔡甸区2015年下半年部分企业排污费核定与征收情况, 数据, 能源环境, 蔡甸区
蔡甸区2016年1月优救对象社会化发放表, 数据, 政府机构, 蔡甸区
蔡甸区2016年2月优救对象社会化发放表, 数据, 政府机构, 蔡甸区
蔡甸区2016年3月救济对象社会化发放表, 数据, 政府机构, 蔡甸区
蔡甸区2016年3月优抚对象社会化发放表, 数据, 政府机构, 蔡甸区
蔡甸区2016年城乡困难群众临时救助资金下拨方案(4月份), 数据, 政府机构, 蔡甸区
蔡甸区2016年城乡困难群众临时救助资金下拨方案（2月份）, 数据, 政府机构, 蔡甸区
蔡甸区2016年城乡困难群众临时救助资金下拨方案（3月份）, 数据, 政府机构, 蔡甸区
蔡甸区城关公交线路图, 数据, 交通服务, 蔡甸区
