数据条目, 资源分类,资源主题, 提供单位
武汉市企业研究开发中心名录, 数据, 教育科技, 市科学技术局
武汉市汽车销售4S店登记服务站一览表, 数据, 交通服务, 市交管局
武汉市清真餐馆一览表, 数据, 教育科技, 市民族宗教事务委员会
武汉市人大常委会办公厅2016年“三公”经费财政拨款预算表, 服务, 政府机构, 市人大
武汉市人大常委会办公厅2016年财政拨款支出预算表（按支出功能科目）, 服务, 政府机构, 市人大
武汉市人大常委会办公厅2016年财政拨款支出预算表（按支出经济分类科目）, 服务, 政府机构, 市人大
武汉市人大常委会办公厅2016年收支预算总表, 服务, 政府机构, 市人大
武汉市人力资源和社会保障局2016年“三公”经费财政拨款预算表, 服务, 公共服务, 市人力资源和社会保障局
武汉市人力资源和社会保障局2016年“三公”经费财政拨款预算情况, 服务, 公共服务, 市人力资源和社会保障局
武汉市人力资源和社会保障局2016年部门预算公开, 服务, 公共服务, 市人力资源和社会保障局
武汉市人力资源和社会保障局2016年财政拨款支出预算表（按功能科目）, 服务, 公共服务, 市人力资源和社会保障局
武汉市人力资源和社会保障局2016年财政拨款支出预算表（按经济科目）, 服务, 公共服务, 市人力资源和社会保障局
武汉市人力资源和社会保障局2016年收支预算总表, 服务, 公共服务, 市人力资源和社会保障局
武汉市人民政府法制办公室 2016年财政拨款支出预算表-按功能科目, 服务, 法律服务, 市法制办公室
武汉市人民政府法制办公室 2016年收支预算总表, 服务, 法律服务, 市法制办公室
武汉市人民政府法制办公室2016年“三公”经费财政拨款预算表, 服务, 法律服务, 市法制办公室
武汉市人民政府法制办公室2016年“三公”经费财政拨款预算情况说明, 服务, 法律服务, 市法制办公室
武汉市人民政府法制办公室2016年部门预算公开说明, 服务, 法律服务, 市法制办公室
武汉市人民政府法制办公室2016年财政拨款支出预算表-按经济科目, 服务, 法律服务, 市法制办公室
武汉市人民政府国有资产监督管理委员会2016年“三公”经费财政拨款预算情况, 服务, 政府机构, 市国有资产监督管理委员会
武汉市人民政府国有资产监督管理委员会2016年部门预算公开说明, 服务, 政府机构, 市国有资产监督管理委员会
武汉市融资性担保公司经营资格名单, 服务, 经济发展, 市经济和信息化委员会
武汉市入选各级非物质文化遗产名录项目, 数据, 公共服务, 市文化局
武汉市三星级酒店, 数据, 公共服务, 市交通运输委员会
武汉市商品房预售许可信息, 服务, 政府机构, 市住房保障和房屋管理局
武汉市商务局内设部门信息公开, 数据, 经济发展, 市商务局
武汉市商业用地监测范围地价区段标准宗地分布图, 数据, 公共服务, 市国土资源和规划局
武汉市尚未处置的闲置土地情况表, 数据, 公共服务, 市国土资源和规划局
武汉市涉及工业审批相关经营服务性收费目录, 数据, 公共服务, 市发展和改革委员会
武汉市社会组织民非名录一览表, 数据, 公共服务, 市民政局
武汉市社会组织社团名录, 数据, 公共服务, 市民政局
武汉市社区交管服务站, 数据, 交通服务, 市交管局
武汉市社区律师在岗信息, 数据, 法律服务, 市司法局
武汉市社区志愿者协会一览表, 数据, 公共服务, 市民政局
武汉市审计局2016年“三公”经费财政拨款预算表, 服务, 金融服务, 市审计局
武汉市审计局2016年“三公”经费财政拨款预算情况, 服务, 金融服务, 市审计局
武汉市审计局2016年部门预算公开, 服务, 金融服务, 市审计局
武汉市审计局2016年财政拨款支出预算表-按功能科目, 服务, 金融服务, 市审计局
武汉市审计局2016年财政拨款支出预算表-按经济科目, 服务, 金融服务, 市审计局
武汉市审计局2016年收支预算总表, 服务, 金融服务, 市审计局
武汉市审计局领导分工信息, 数据, 金融服务, 市审计局
武汉市生活垃圾服务费收费标准, 数据, 公共服务, 市发展和改革委员会
武汉市施工占道路段清单, 服务, 交通服务, 市交管局
武汉市十一黄金周统计信息, 数据, 公共服务, 市旅游局
武汉市食品药品监督管理局关于药品医疗器械经营企业监督检查信息通告（2016年2月）, 数据, 医疗卫生, 市食品药品监督管理局
武汉市食品药品监督管理局关于医疗器械生产企业行政检查信息的通告（2016年第1季度）, 数据, 医疗卫生, 市食品药品监督管理局
武汉市实时交通情况, 服务, 公共服务, 市国土资源和规划局
武汉市市级示范家庭农场资格认定公示, 数据, 农业农村, 市农业委员会
武汉市市民身边的法律服务, 数据, 法律服务, 市司法局
武汉市市区档案馆导航地图, 服务, 政府机构, 市档案局
武汉市市区土地出让金（租金）级别图, 数据, 公共服务, 市国土资源和规划局
武汉市市政道路设施量汇总表, 数据, 交通服务, 市城市管理委员会
武汉市市政公用设施建设固定资产投资资金来源综合表, 数据, 公共服务, 市城乡建设委员会
武汉市市政公用设施建设固定资产投资综合表, 数据, 公共服务, 市城乡建设委员会
武汉市市政公用设施水平表（不含暂住人口）, 数据, 公共服务, 市城乡建设委员会
武汉市市直部门单位2016年三公经费财政拨款预算控制数安排情况, 服务, 经济发展, 市财政局
武汉市市直及各区养老机构管理部门电话及地址, 数据, 公共服务, 市民政局
武汉市市直行政事业单位国有资产管理中介机构备选库入选机构名单, 数据, 政府机构, 市财政局
武汉市水环境状况, 数据, 能源环境, 市水务局
武汉市水情、雨情、天气实况, 服务, 公共服务, 市水务局
武汉市水务集团营业厅地址, 数据, 公共服务, 市水务集团
武汉市水务集团有限公司所属水厂2015年下半年出厂水非常规检测项目监测结果（64项）, 数据, 公共服务, 市水务集团
武汉市水务集团有限公司所属水厂2016年2月出厂水常规检测项目监测结果（42项）, 数据, 公共服务, 市水务集团
武汉市水务集团主城区管网水项目监测结果（4项）, 数据, 公共服务, 市水务集团
武汉市水务局2016年部门预算公开, 服务, 政府机构, 市水务局
武汉市水务局公开招标信息明细表, 数据, 政府机构, 市水务局
武汉市水务局直属单位, 服务, 政府机构, 市水务局
武汉市水资源公报, 数据, 能源环境, 市水务局
武汉市司法局办公地点(地图), 数据, 法律服务, 市司法局
武汉市司法局领导介绍, 数据, 法律服务, 市司法局
武汉市司法局内设机构, 数据, 法律服务, 市司法局
武汉市四星级酒店, 数据, 公共服务, 市交通运输委员会
武汉市特殊教育学校一览表, 数据, 教育科技, 蔡甸区
武汉市体育传统项目学校一览表, 数据, 公共服务, 市体育局
武汉市体育局 2016年“三公”经费财政拨款预算表, 服务, 文化娱乐, 市体育局
武汉市体育局2016年“三公”经费财政拨款预算情况说明, 服务, 文化娱乐, 市体育局
武汉市体育局2016年部门预算公开说明, 服务, 文化娱乐, 市体育局
武汉市体育局2016年财政拨款支出预算表-按功能科目, 服务, 文化娱乐, 市体育局
武汉市体育局2016年财政拨款支出预算表-按经济科目, 服务, 文化娱乐, 市体育局
武汉市体育局2016年收支预算总表, 服务, 文化娱乐, 市体育局
武汉市体育局各处联系方式及地址, 数据, 公共服务, 市体育局
武汉市天然气公司服务网点列表 （部分）, 数据, 公共服务, 市燃气热力集团
武汉市统计局2016年“三公”经费财政拨款预算表, 服务, 政府机构, 市统计局
武汉市统计局2016年财政拨款支出预算表-按功能科目, 服务, 政府机构, 市统计局
武汉市统计局2016年财政拨款支出预算表-按经济科目, 服务, 政府机构, 市统计局
武汉市统计局2016年收支预算总表, 服务, 政府机构, 市统计局
武汉市统计局统计年鉴-2015, 数据, 经济发展, 市统计局
武汉市土地级别与基准地价标准, 数据, 公共服务, 市国土资源和规划局
武汉市违法处理办公地点, 数据, 交通服务, 市交管局
武汉市卫生和计划生育委员会2016年“三公”经费财政拨款预算情况说明, 服务, 公共服务, 市卫生和计划生育委员会
武汉市卫生计生委2016年部门预算公开说明, 服务, 公共服务, 市卫生和计划生育委员会
武汉市文化局 2016年“三公”经费财政拨款预算表, 服务, 公共服务, 市文化局
武汉市文化局 2016年收支预算总表, 服务, 公共服务, 市文化局
武汉市文化局2016年“三公”经费财政拨款预算情况说明, 服务, 公共服务, 市文化局
武汉市文化局2016年部门预算公开, 服务, 公共服务, 市文化局
武汉市文化局2016年财政拨款支出预算表-按功能科目, 服务, 公共服务, 市文化局
武汉市文化局2016年财政拨款支出预算表-按经济科目, 服务, 公共服务, 市文化局
武汉市文化新闻广电局直属单位, 数据, 文化娱乐, 市文化局
武汉市文联2016年“三公”经费财政拨款预算表, 服务, 政府机构, 市文联
武汉市文联2016年财政拨款支出预算表（按功能科目）, 服务, 政府机构, 市文联
武汉市文联2016年财政拨款支出预算表（按经济科目）, 服务, 政府机构, 市文联
武汉市文联2016年收支预算总表, 服务, 政府机构, 市文联
武汉市武昌区环保局2015年（1-6月）建筑施工超标排污费核定报表, 数据, 能源环境, 武昌区
武汉市武昌区环保局2015年（7-12月）建筑施工超标排污费核定报表, 数据, 能源环境, 武昌区
武汉市武昌区环境影响评价登记表（1-5月）基本情况一览表, 数据, 能源环境, 武昌区
武汉市五星级酒店, 数据, 公共服务, 市交通运输委员会
武汉市物业服务企业信息, 服务, 政府机构, 市住房保障和房屋管理局
武汉市现有驾驶员考场明细表, 数据, 交通服务, 市公安局
武汉市新三板挂牌企业名单（截止2014年底）, 数据, 经济发展, 市科学技术局
武汉市新洲区体育经营单位一览表, 数据, 公共服务, 市体育局
武汉市行政审批文件, 服务, 法律服务, 市法制办公室
武汉市学校体育场馆向社会开放名单, 数据, 文化娱乐, 市体育局
武汉市养老设施空间布局规划, 数据, 公共服务, 市国土资源和规划局
武汉市医疗救助定点医院名单, 数据, 公共服务, 市民政局
武汉市义务植树点及联系方式、树木认养点, 数据, 能源环境, 市园林和林业局
武汉市游览参观点门票价目表, 数据, 文化娱乐, 市发展和改革委员会
武汉市游泳馆一览表, 服务, 文化娱乐, 市体育局
武汉市幼儿园一览表, 数据, 教育科技, 市教育局
武汉市预防接种门诊名单, 数据, 医疗卫生, 市卫生和计划生育委员会
武汉市园林和林业局 2016年“三公”经费财政拨款预算表, 服务, 能源环境, 市园林和林业局
武汉市园林和林业局2016年“三公”经费财政拨款预算情况说明, 服务, 能源环境, 市园林和林业局
武汉市园林和林业局2016年部门预算公开说明, 服务, 能源环境, 市园林和林业局
武汉市园林和林业局2016年财政拨款支出预算表（按支出功能科目）, 服务, 能源环境, 市园林和林业局
武汉市园林和林业局2016年财政拨款支出预算表（按支出经济分类科目）, 服务, 能源环境, 市园林和林业局
武汉市园林和林业局2016年收支预算总表, 服务, 能源环境, 市园林和林业局
武汉市月市场商品价格监测分析, 数据, 经济发展, 市农业委员会
武汉市在建项目, 数据, 能源环境, 市环境保护局
武汉市政府参事室（文史研究馆）2016年“三公”经费财政拨款预算表, 服务, 政府机构, 市政府参事室
武汉市政府参事室（文史研究馆）2016年“三公”经费财政拨款预算情况, 服务, 政府机构, 市政府参事室
武汉市政府参事室（文史研究馆）2016年部门预算公开, 服务, 政府机构, 市政府参事室
武汉市政府参事室（文史研究馆）2016年财政拨款支出预算表（按功能科目）, 服务, 政府机构, 市政府参事室
武汉市政府参事室（文史研究馆）2016年财政拨款支出预算表（按经济科目）, 服务, 政府机构, 市政府参事室
武汉市政府参事室（文史研究馆）2016年收支预算总表, 服务, 政府机构, 市政府参事室
武汉市政府规范文件, 服务, 法律服务, 市法制办公室
武汉市政府规章, 服务, 法律服务, 市法制办公室
武汉市政公用设施建设项目综合表, 数据, 公共服务, 市城乡建设委员会
武汉市政公用设施水平表, 数据, 公共服务, 市城乡建设委员会
武汉市政务服务中心管理办公室2016年“三公”经费财政拨款预算表, 服务, 公共服务, 市政服务中心管理办公室
武汉市政务服务中心管理办公室2016年“三公”经费财政拨款预算情况说明, 服务, 公共服务, 市政服务中心管理办公室
武汉市政务服务中心管理办公室2016年部门预算公开说明, 服务, 公共服务, 市政服务中心管理办公室
武汉市政务服务中心管理办公室2016年财政拨款支出预算表-按功能科目, 服务, 公共服务, 市政服务中心管理办公室
武汉市政务服务中心管理办公室2016年财政拨款支出预算表-按经济科目, 服务, 公共服务, 市政服务中心管理办公室
武汉市政务服务中心管理办公室2016年收支预算总表, 服务, 公共服务, 市政服务中心管理办公室
武汉市职业学校一览表, 数据, 教育科技, 市教育局
武汉市质量技术监督局2016年“三公”经费财政拨款预算表, 服务, 教育科技, 市质量技术监督局
武汉市质量技术监督局2016年“三公”经费财政拨款预算情况说明, 服务, 教育科技, 市质量技术监督局
武汉市质量技术监督局2016年部门预算公开, 服务, 教育科技, 市质量技术监督局
武汉市质量技术监督局2016年财政拨款支出预算表-按功能科目, 服务, 教育科技, 市质量技术监督局
武汉市质量技术监督局2016年财政拨款支出预算表-按经济科目, 服务, 教育科技, 市质量技术监督局
武汉市质量技术监督局2016年收支预算总表, 服务, 教育科技, 市质量技术监督局
武汉市中、小学体育场馆设施对公众开放学校信息一览表, 数据, 公共服务, 市体育局
武汉市中小学教师继续教育工作先进单位名单, 数据, 教育科技, 汉南区
武汉市中心城区供水价格表, 数据, 公共服务, 市水务集团
武汉市中心城区政府类公租房项目情况表, 数据, 公共服务, 市住房保障和房屋管理局
武汉市中心城区渍水风险图, 服务, 能源环境, 市水务局
武汉市中职学校2015年第二批（秋季学期）国家助学金预算分配明细表, 数据, 公共服务, 市人力资源和社会保障局
武汉市中职学校2015年第二批（秋季学期）免学费预算分配明细表, 数据, 公共服务, 市人力资源和社会保障局
武汉市重点污染源 信息发布系统, 服务, 能源环境, 市环境保护局
武汉市主城区电子监控设备点位公告, 数据, 交通服务, 市公安局
武汉市主要创业投资机构分布情况表（截止2014年底）, 数据, 经济发展, 市科学技术局
武汉市主要公园、广场接待游人量, 数据, 公共服务, 市园林和林业局
武汉市住房保障和房屋管理局 2016年“三公”经费财政拨款预算表, 服务, 政府机构, 市住房保障和房屋管理局
武汉市住房保障和房屋管理局2016年“三公”经费财政拨款预算情况说明, 服务, 政府机构, 市住房保障和房屋管理局
武汉市住房保障和房屋管理局2016年部门预算公开, 服务, 政府机构, 市住房保障和房屋管理局
武汉市住房保障和房屋管理局2016年财政拨款支出预算表-按功能科目, 服务, 政府机构, 市住房保障和房屋管理局
武汉市住房保障和房屋管理局2016年财政拨款支出预算表-按经济科目, 服务, 政府机构, 市住房保障和房屋管理局
武汉市住房保障和房屋管理局2016年收支预算总表, 服务, 政府机构, 市住房保障和房屋管理局
武汉市住宅用地监测范围地价区段标准宗地分布图, 数据, 公共服务, 市国土资源和规划局
武汉市驻汉机构组织名称一览表, 数据, 政府机构, 市外事办公室
武汉市专业技术资格评审中心办公地址与联系电话, 数据, 政府机构, 市人力资源和社会保障局
武汉市宗教团体一览表, 数据, 教育科技, 市民族宗教事务委员会
武汉市综合警务站电子地图, 服务, 公共服务, 市公安局
武汉市总工会2016年部门预算公开说明, 服务, 政府机构, 市总工会
武汉市总工会2016年财政拨款支出预算表（按功能科目）, 服务, 政府机构, 市总工会
武汉市总工会2016年财政拨款支出预算表（按经济科目）, 服务, 政府机构, 市总工会
武汉市总工会2016年收支预算总表, 服务, 政府机构, 市总工会
武汉市总湖长一览表, 数据, 能源环境, 市水务局
武汉市最低地价标准, 数据, 公共服务, 市国土资源和规划局
武汉市殡仪馆、公墓单位一览表, 服务, 公共服务, 市民政局
武汉特色餐饮一览表, 数据, 公共服务, 市交通运输委员会
武汉天河机场国际地区航班信息表, 数据, 交通服务, 市交通运输委员会
武汉西餐一览表, 数据, 公共服务, 市交通运输委员会
武汉小吃一览表, 数据, 公共服务, 市交通运输委员会
武汉新港管理委员会2014年“三公”经费财政拨款预算表, 服务, 经济发展, 武汉新港管委会
武汉新港管理委员会2016年财政拨款支出预算表（按功能科目）, 服务, 经济发展, 武汉新港管委会
武汉新港管理委员会2016年财政拨款支出预算表（按经济科目）, 服务, 经济发展, 武汉新港管委会
武汉新港管理委员会2016年收支预算总表, 服务, 经济发展, 武汉新港管委会
武汉新港管理委员会产业发展规划, 数据, 经济发展, 武汉新港管委会
武汉新港管理委员会各部门联系电话, 数据, 经济发展, 武汉新港管委会
武汉新港管理委员会规划范围, 数据, 经济发展, 武汉新港管委会
武汉新港管理委员会集疏运空间发展规划, 数据, 经济发展, 武汉新港管委会
武汉新港管理委员会集疏运网络规划, 数据, 经济发展, 武汉新港管委会
武汉新华书店股份有限公司主要卖场地址及电话, 数据, 公共服务, 市文化局
武汉新华书店股份有限公司主要卖场地址及电话一览表, 数据, 文化娱乐, 市文化局
武汉血液中心献血点, 数据, 政府机构, 市卫生和计划生育委员会
武汉血液中心献血点地图, 服务, 政府机构, 市卫生和计划生育委员会
武汉中介经营点, 数据, 公共服务, 市住房保障和房屋管理局
武汉住房公积金管理中心地址, 服务, 公共服务, 武汉住房公积金管理中心
武汉自来水有限公司水费查询, 服务, 公共服务, 市水务集团
武燃客服网点及服务电话, 数据, 公共服务, 市燃气热力集团
物价监测单位地图, 服务, 公共服务, 市发展和改革委员会
物价局电子地图, 服务, 公共服务, 市发展和改革委员会
希望工程捐赠个人, 数据, 教育科技, 武汉共青团
希望工程捐赠企业, 数据, 教育科技, 武汉共青团
辖区医疗机构, 数据, 医疗卫生, 市卫生和计划生育委员会
下属学会信息, 数据, 政府机构, 市科协
现代商贸业“十三五”规划, 数据, 公共服务, ~口区
献血者数据查询, 服务, 医疗卫生, 市卫生和计划生育委员会
销售放射源的单位, 服务, 能源环境, 市环境保护局
销售射线装置的单位, 服务, 能源环境, 市环境保护局
小商品价格行情, 服务, 公共服务, 市发展和改革委员会
新车上牌后第一次年检前环保标志申领地址, 服务, 公共服务, 市环境保护局
新洲区机关联系方式, 数据, 政府机构, 新洲区
新洲区区直部门2016年三公经费预算, 服务, 政府机构, 新洲区
新洲区区直部门2016年三公经费预算说明, 服务, 政府机构, 新洲区
型材企业备案查询, 服务, 政府机构, 市城乡建设委员会
行政审批办件查询, 服务, 公共服务, 市政服务中心管理办公室
行政审批办事直通车, 数据, 公共服务, 市政服务中心管理办公室
行政审批事项查询, 服务, 公共服务, 市政服务中心管理办公室
行政事业收费, 服务, 政府机构, 市发展和改革委员会
学校及在校学生情况, 数据, 教育科技, 汉南区
阳逻港园区功能布局, 数据, 经济发展, 武汉新港管委会
阳逻港园区及其功能定位, 数据, 经济发展, 武汉新港管委会
阳逻港园区建设的三个阶段, 数据, 经济发展, 武汉新港管委会
阳逻港园区综保区简介, 数据, 经济发展, 武汉新港管委会
阳逻港综保区招商简介合作范围, 数据, 经济发展, 武汉新港管委会
阳逻港综保区招商简介区域功能, 数据, 经济发展, 武汉新港管委会
阳逻港综保区招商简介投资环境, 数据, 经济发展, 武汉新港管委会
阳逻港综保区招商简介优惠政策, 数据, 经济发展, 武汉新港管委会
养老服务机构名单, 数据, 公共服务, 蔡甸区
药品价格查询, 服务, 医疗卫生, 市卫生和计划生育委员会
药品价格行情, 服务, 公共服务, 市发展和改革委员会
一张图全市违停严管路段, 数据, 交通服务, 市交管局
一张图全市主要堵点绕行, 数据, 交通服务, 市交管局
医疗广告审批汇总表, 数据, 医疗卫生, 市卫生和计划生育委员会
医疗收费, 服务, 医疗卫生, 市发展和改革委员会
医疗收费查询, 服务, 医疗卫生, 市卫生和计划生育委员会
医生、护士执业资格证查询, 服务, 医疗卫生, 市卫生和计划生育委员会
艺术单位一览表, 数据, 文化娱乐, 市文化局
易站通自助缴费机分布表, 数据, 交通服务, 武汉市城市路桥收费中心
疫苗接种点的名单、地址、通讯方式, 数据, 医疗卫生, 蔡甸区
优秀市人大代表评选相关表格, 数据, 政府机构, 市人大
游艺娱乐营业场所统计表, 服务, 文化娱乐, 市文化局
月度居民消费价格指数, 数据, 经济发展, 市农业委员会
月度武汉市采矿权审批情况, 数据, 能源环境, 市国土资源和规划局
月份气象情况, 数据, 经济发展, 市统计局
运营车辆违章查询, 服务, 交通服务, 市交通运输委员会
早籼稻最低收购价委托收储库点名单, 数据, 公共服务, 粮食局
曾家岗-王家巷轮渡航线, 数据, 交通服务, 市交通运输委员会
招标公告, 服务, 政府机构, 市城乡建设委员会
政府工作报告, 数据, 政府机构, ~口区
知识产权评估机构, 数据, 教育科技, 市科学技术局
职业技能鉴定机构, 数据, 政府机构, 市人力资源和社会保障局
直属单位, 数据, 公共服务, 市科学技术局
直属事业单位, 数据, 政府机构, 市科协
直属团组织上网工程, 服务, 政府机构, 武汉共青团
执法人信息一览表, 数据, 法律服务, 市法制办公室
智慧湖泊app下载, 服务, 能源环境, 市水务局
智慧武汉菜场公益地图, 服务, 公共服务, 市国土资源和规划局
质监局技术机构一览表, 数据, 政府机构, 市质量技术监督局
中标公示, 服务, 政府机构, 市城乡建设委员会
中等职业学校国家助学金(2016春)（邾城街）, 数据, 教育科技, 新洲区
中共武汉市东西湖区委区直机关工作委员会机构编制情况表, 数据, 经济发展, 武汉临空港经济技术开发区管委会(东西湖)
中共武汉市黄陂区委政法委员会 2016年“三公”经费财政拨款预算表, 服务, 政府机构, 黄陂区
中共武汉市委党校 2016年财政拨款支出预算表-按功能科目, 服务, 公共服务, 市委党校（武汉行政学院）
中共武汉市委党校 2016年收支预算总表, 服务, 公共服务, 市委党校（武汉行政学院）
中共武汉市委党校2016年“三公”经费财政拨款预算表, 服务, 公共服务, 市委党校（武汉行政学院）
中共武汉市委党校2016年“三公”经费财政拨款预算情况说明, 服务, 公共服务, 市委党校（武汉行政学院）
中共武汉市委党校2016年部门预算公开说明, 服务, 公共服务, 市委党校（武汉行政学院）
中共武汉市委党校2016年财政拨款支出预算表-按经济科目, 服务, 公共服务, 市委党校（武汉行政学院）
中共武汉市委市直机关工委 2016年财政拨款支出预算表（按经济科目）, 服务, 政府机构, 市委市直机关工委
中共武汉市委市直机关工委2016年“三公”经费财政拨款预, 服务, 政府机构, 市委市直机关工委
中共武汉市委市直机关工委2016年财政拨款支出预算表（按功能科目）, 服务, 政府机构, 市委市直机关工委
中共武汉市委市直机关工委2016年收支预算总表, 服务, 政府机构, 市委市直机关工委
中共武汉市委宣传部 2016年财政拨款支出预算表 （按功能科目）, 服务, 政府机构, 市委宣传部
中共武汉市委宣传部 2016年财政拨款支出预算表 （按经济科目）, 服务, 政府机构, 市委宣传部
中共武汉市委宣传部2016年“三公”经费财政拨款预算表, 服务, 政府机构, 市委宣传部
中共武汉市委宣传部2016年“三公”经费财政拨款预算情况说明, 服务, 政府机构, 市委宣传部
中共武汉市委宣传部2016年部门预算公开说明, 服务, 政府机构, 市委宣传部
中共武汉市委宣传部2016年收支预算总表, 服务, 政府机构, 市委宣传部
中国共产党武汉市纪律检查委员会（武汉市监察局）2016年“三公”经费财政拨款预算表, 服务, 政府机构, 市纪委
中国共产党武汉市纪律检查委员会（武汉市监察局）2016年财政拨款支出预算表（按功能科目）, 服务, 政府机构, 市纪委
中国共产党武汉市纪律检查委员会（武汉市监察局）2016年财政拨款支出预算表（按经济科目）, 服务, 政府机构, 市纪委
中国共产党武汉市纪律检查委员会（武汉市监察局）2016年收支预算总表, 服务, 政府机构, 市纪委
中国人民银行武汉分行营业管理部办公地址简介, 数据, 政府机构, 市金融工作局
中国人民政治协商会议武汉市委员会办公厅2016年“三公”经费财政拨款预算表, 服务, 政府机构, 市政协
中国人民政治协商会议武汉市委员会办公厅2016年财政拨款支出预算表（按功能科目）, 服务, 政府机构, 市政协
中国人民政治协商会议武汉市委员会办公厅2016年财政拨款支出预算表（按经济科目）, 服务, 政府机构, 市政协
中国人民政治协商会议武汉市委员会办公厅2016年收支预算总表, 服务, 政府机构, 市政协
中介服务资质, 数据, 公共服务, 市住房保障和房屋管理局
中晚籼稻最低收购价收储库点名单, 数据, 公共服务, 粮食局
中小学生游泳场所免费开放场所_2014_1, 数据, 公共服务, 市体育局
中心城区现收费路段泊位汇总表, 数据, 交通服务, 市城市管理委员会
重点跟踪用能企业名单, 服务, 经济发展, 市经济和信息化委员会
重点民企名录表, 数据, 经济发展, 市经济和信息化委员会
主要公园广场面积, 数据, 能源环境, 市园林和林业局
住房公积金贷款还款计算表, 数据, 公共服务, 武汉住房公积金管理中心
注册个体工商户总体统计情况, 数据, 经济发展, 市工商行政管理局
专家门诊, 服务, 医疗卫生, 市卫生和计划生育委员会
专利代理机构, 数据, 教育科技, 市科学技术局
专利质押贷款有关金融机构, 数据, 教育科技, 市科学技术局
资料目录库, 服务, 公共服务, 市档案局
最新服务网点地图及服务（经营）点列表, 数据, 公共服务, 市燃气热力集团
殡葬服务收费, 数据, 公共服务, 市发展和改革委员会
